,academic_session,available_to_erasmus_students,available_to_visiting_students,code,credits,level,remark,school,taught_wholly_by_distance_learning,title,typically_offered
0,2017-18,No,No,ACCFIN1003,20,Level 1 (SCQF level 7),,Adam Smith Business School,,Finance 1,Semester 2
1,2017-18,No,No,ACCFIN1004,20,Level 1 (SCQF level 7),,Adam Smith Business School,,Financial Accounting 1,Semester 1
2,2017-18,Yes,Yes,ACCFIN1018,10,Level 1 (SCQF level 7),,Adam Smith Business School,,Foundations of Finance,Semester 2
3,2017-18,Yes,Yes,ACCFIN1001,20,Level 1 (SCQF level 7),,Adam Smith Business School,,Introduction to Business Reporting & Financial Accounting,Semester 2
4,2017-18,Yes,Yes,ACCFIN1016,20,Level 1 (SCQF level 7),,Adam Smith Business School,,"Introduction to Finance, Investments and Institutions",Semester 1
5,2017-18,Yes,Yes,ACCFIN1006,20,Level 1 (SCQF level 7),,Adam Smith Business School,,Introduction to Management Accounting and Control,Semester 1
6,2017-18,No,No,ACCFIN1007,20,Level 1 (SCQF level 7),,Adam Smith Business School,,Management Accounting 1: A Business Decision Emphasis,Semester 1
7,2017-18,Yes,Yes,ACCFIN1017,20,Level 1 (SCQF level 7),,Adam Smith Business School,,The Accountancy Profession,Semester 2
8,2017-18,Yes,Yes,ACCFIN2021,20,Level 2 (SCQF level 8),,Adam Smith Business School,,Accountancy Matters,Semester 2
9,2017-18,Yes,Yes,ACCFIN2002,20,Level 2 (SCQF level 8),,Adam Smith Business School,,Finance 2,Semester 2
10,2017-18,Yes,Yes,ACCFIN2003,20,Level 2 (SCQF level 8),,Adam Smith Business School,,Financial Accounting 2,Semester 1
11,2017-18,Yes,Yes,ACCFIN2005,20,Level 2 (SCQF level 8),,Adam Smith Business School,,Management Accounting 2: Organisational Performance,Semester 2
12,2017-18,Yes,Yes,ACCFIN2018,20,Level 2 (SCQF level 8),,Adam Smith Business School,,Statistical Analysis and Methods,Semester 1
13,2017-18,Yes,Yes,ACCFIN4031,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Accountability and Human Rights,Semester 2
14,2017-18,No,No,ACCFIN4001P,40,Level 4 (SCQF level 10),,Adam Smith Business School,,Accountancy Dissertation,Runs Throughout Semesters 1 and 2
15,2017-18,Yes,Yes,ACCFIN4025,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Accounting & Business History,Semester 1
16,2017-18,Yes,Yes,ACCFIN4007,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Advanced Financial Accounting,Semester 1
17,2017-18,Yes,Yes,ACCFIN4008,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Advanced Theory and Practice of Taxation,Semester 1
18,2017-18,Yes,Yes,ACCFIN4009,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Auditing,Semester 1
19,2017-18,Yes,Yes,ACCFIN4010,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Capital Markets and Portfolio Management,Semester 1
20,2017-18,Yes,Yes,ACCFIN4070,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Corporate Finance,Semester 2
21,2017-18,Yes,Yes,ACCFIN4029,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Corporate Insolvency,Semester 1
22,2017-18,Yes,Yes,ACCFIN4040,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Derivative Securities,Semester 1
23,2017-18,Yes,Yes,ACCFIN4002,20,Level 4 (SCQF level 10),,Adam Smith Business School,,Ethics in Accounting and Business,Semester 2
