,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,314,32,Pachuca,16,334,239,43,68,203
1,297,25,Chivas,16,306,226,46,64,197
2,315,24,León,19,361,245,46,88,210
3,321,14,Tigres,19,284,284,23,51,155
4,351,53,Santos,20,288,256,42,78,229
5,325,33,Toluca,21,317,225,67,85,273
6,352,46,América,22,291,257,49,77,216
7,355,34,Monterrey,23,273,282,39,75,227
8,341,50,Morelia,24,322,244,47,86,235
9,325,42,Cruz Azul,24,231,234,49,82,220
10,353,38,Pumas,24,334,253,62,89,272
11,313,35,Club Tijuana,26,319,231,47,87,213
12,312,27,Atlas,26,313,239,46,66,223
13,341,49,Puebla,26,294,227,65,96,308
14,345,42,Club Querétaro,26,323,263,40,88,245
15,348,31,Dorados,32,279,252,65,90,254
16,294,24,Chiapas FC,33,257,221,49,82,242
17,313,36,Veracruz,34,267,231,46,90,260
