,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Cruz Azul,3,,,,,
1,,,Toros Neza,3,,,,,
2,,,Zacatepec,7,,,,,
3,,,Toluca,7,,,,,
4,,,Atlético Español,8,,,,,
5,,,Chivas,9,,,,,
6,,,Pumas,9,,,,,
7,,,Estudiantes,11,,,,,
