,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Chivas,4,,,,,
1,,,América,6,,,,,
2,,,Pumas,7,,,,,
3,,,Tampico Madero,9,,,,,
4,,,Puebla,9,,,,,
5,,,Cruz Azul,9,,,,,
6,,,Estudiantes,10,,,,,
7,,,Atlante,14,,,,,
