,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Chivas,16,,,,,
1,,,Necaxa,21,,,,,
2,,,Santos,22,,,,,
3,,,Pumas,22,,,,,
4,,,Tigres,22,,,,,
5,,,Morelia,22,,,,,
6,,,Pachuca,25,,,,,
7,,,Toluca,28,,,,,
8,,,Puebla,28,,,,,
9,,,Celaya,28,,,,,
10,,,Atlas,29,,,,,
11,,,León,30,,,,,
12,,,Monterrey,31,,,,,
13,,,América,31,,,,,
14,,,Cruz Azul,33,,,,,
15,,,Estudiantes,33,,,,,
16,,,Atlante,34,,,,,
17,,,Toros Neza,37,,,,,
