,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Cruz Azul,16,,,,,
1,,,Atlas,16,,,,,
2,,,América,18,,,,,
3,,,Chivas,19,,,,,
4,,,Puebla,19,,,,,
5,,,Necaxa,22,,,,,
6,,,Tigres,23,,,,,
7,,,Toluca,25,,,,,
8,,,Morelia,26,,,,,
9,,,Celaya,27,,,,,
10,,,Pachuca,28,,,,,
11,,,Atlante,29,,,,,
12,,,León,32,,,,,
13,,,Pumas,32,,,,,
14,,,Santos,35,,,,,
15,,,Estudiantes,35,,,,,
16,,,Monterrey,35,,,,,
17,,,Toros Neza,41,,,,,
