,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Toluca,5,,,,,
1,,,Cruz Azul,5,,,,,
2,,,Tigres,6,,,,,
3,,,América,6,,,,,
4,,,Pumas,6,,,,,
5,,,Monterrey,8,,,,,
6,,,Zacatepec,10,,,,,
7,,,Potosino,13,,,,,
