,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,208,30,Tigres,12,189,145,33,59,177
1,230,34,Morelia,16,251,152,44,67,209
2,261,46,Pachuca,16,240,156,59,55,227
3,274,29,Monterrey,18,226,197,48,64,181
4,246,36,Chivas,18,194,163,47,80,229
5,242,28,América,19,238,154,60,82,247
6,213,22,Cruz Azul,20,196,165,26,60,154
7,228,33,Veracruz,20,234,145,50,74,217
8,266,48,Santos,20,266,161,57,57,220
9,238,26,Toluca,20,204,159,53,70,213
10,208,53,Atlas,20,260,100,55,76,242
11,246,45,Necaxa,21,231,152,49,82,236
12,220,25,Club Tijuana,23,240,150,45,67,203
13,220,37,León,23,245,132,51,83,244
14,213,34,Puebla,24,217,149,30,81,194
15,279,46,Club Querétaro,27,208,187,46,84,252
16,240,36,Chiapas FC,28,245,154,50,99,257
17,205,19,Pumas,30,213,155,31,77,194
