,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Pumas,3,,,,,
1,,,Toros Neza,5,,,,,
2,,,América,5,,,,,
3,,,Tigres,6,,,,,
4,,,Cruz Azul,6,,,,,
5,,,Zacatepec,9,,,,,
6,,,Tampico Madero,10,,,,,
7,,,Atlante,10,,,,,
