,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Chivas,21,,,,,
1,,,Pachuca,22,,,,,
2,,,Atlas,22,,,,,
3,,,Morelia,23,,,,,
4,,,Toluca,23,,,,,
5,,,Cruz Azul,24,,,,,
6,,,América,25,,,,,
7,,,Necaxa,25,,,,,
8,,,Celaya,26,,,,,
9,,,Pumas,27,,,,,
10,,,Estudiantes,28,,,,,
11,,,Toros Neza,29,,,,,
12,,,Santos,29,,,,,
13,,,Puebla,30,,,,,
14,,,Tigres,32,,,,,
15,,,León,33,,,,,
16,,,Atlante,34,,,,,
17,,,Monterrey,38,,,,,
