,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Tigres,9,,,,,
1,,,Pumas,13,,,,,
2,,,Chivas,15,,,,,
3,,,Necaxa,15,,,,,
4,,,Atlante,17,,,,,
5,,,Chiapas FC,18,,,,,
6,,,Atlas,19,,,,,
7,,,Monterrey,20,,,,,
8,,,Cruz Azul,20,,,,,
9,,,Santos,23,,,,,
10,,,Morelia,24,,,,,
11,,,Pachuca,25,,,,,
12,,,Puebla,26,,,,,
13,,,Toluca,27,,,,,
14,,,América,28,,,,,
15,,,Club Querétaro,30,,,,,
16,,,Estudiantes,34,,,,,
17,,,Gallos Blancos,35,,,,,
