,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Zacatepec,29,,,,,
1,,,Atlante,31,,,,,
2,,,América,31,,,,,
3,,,Leones Negros,35,,,,,
4,,,Campesinos,42,,,,,
5,,,Toros Neza,43,,,,,
6,,,Tigres,43,,,,,
7,,,Cruz Azul,44,,,,,
8,,,Morelia,49,,,,,
9,,,Pumas,51,,,,,
10,,,Potosino,53,,,,,
11,,,Atlético Español,55,,,,,
12,,,Chivas,55,,,,,
13,,,Estudiantes,55,,,,,
14,,,Monterrey,56,,,,,
15,,,Toluca,56,,,,,
16,,,Puebla,56,,,,,
17,,,León,65,,,,,
18,,,Atlas,67,,,,,
19,,,Tampico Madero,72,,,,,
