,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Tigres,13,,,,,
1,,,América,15,,,,,
2,,,Atlante,16,,,,,
3,,,Puebla,17,,,,,
4,,,Chivas,17,,,,,
5,,,Monterrey,18,,,,,
6,,,León,22,,,,,
7,,,Pachuca,22,,,,,
8,,,Pumas,24,,,,,
9,,,Necaxa,25,,,,,
10,,,Celaya,27,,,,,
11,,,Estudiantes,27,,,,,
12,,,Morelia,27,,,,,
13,,,Santos,27,,,,,
14,,,Cruz Azul,27,,,,,
15,,,Toluca,33,,,,,
16,,,Atlas,33,,,,,
17,,,Irapuato,38,,,,,
