,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Atlante,11,,,,,
1,,,Santos,15,,,,,
2,,,Toluca,15,,,,,
3,,,León,19,,,,,
4,,,Chivas,19,,,,,
5,,,Necaxa,19,,,,,
6,,,Veracruz,21,,,,,
7,,,Monterrey,21,,,,,
8,,,Puebla,22,,,,,
9,,,Cruz Azul,26,,,,,
10,,,Atlas,26,,,,,
11,,,Pumas,27,,,,,
12,,,América,27,,,,,
13,,,Estudiantes,30,,,,,
14,,,Morelia,31,,,,,
15,,,Celaya,33,,,,,
16,,,Pachuca,36,,,,,
17,,,Toros Neza,36,,,,,
