,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,394,43,Tigres,21,400,305,46,88,221
1,311,51,Puebla,23,271,210,50,103,283
2,273,27,Santos,24,320,205,41,67,188
3,316,42,Club Querétaro,25,299,222,52,76,217
4,320,56,Cruz Azul,25,328,226,38,70,196
5,268,45,Chivas,26,333,171,52,85,233
6,270,34,Morelia,26,257,204,32,79,217
7,396,66,Pumas,28,405,260,70,112,383
8,269,42,Atlas,28,242,181,46,86,226
9,284,54,Veracruz,28,265,188,42,109,270
10,345,37,América,28,409,254,54,84,255
11,416,63,Toluca,28,336,267,86,102,331
12,232,36,Dorados,29,263,152,44,83,205
13,272,36,Monterrey,29,255,194,42,76,206
14,283,39,Club Tijuana,30,277,206,38,97,231
15,333,48,Chiapas FC,30,305,242,43,103,252
16,281,33,Pachuca,33,244,202,46,95,244
17,296,39,León,36,323,197,60,106,251
