,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Chivas,31,,,,,
1,,,León,37,,,,,
2,,,Atlas,38,,,,,
3,,,Pumas,41,,,,,
4,,,Puebla,41,,,,,
5,,,Correcaminos,42,,,,,
6,,,Veracruz,43,,,,,
7,,,América,46,,,,,
8,,,Morelia,46,,,,,
9,,,Necaxa,46,,,,,
10,,,Estudiantes,47,,,,,
11,,,Toluca,47,,,,,
12,,,Atlante,47,,,,,
13,,,Monterrey,49,,,,,
14,,,Gallos Blancos,50,,,,,
15,,,Tigres,51,,,,,
16,,,Santos,51,,,,,
17,,,Cruz Azul,52,,,,,
18,,,Cobras,58,,,,,
19,,,Leones Negros,59,,,,,
