,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Leones Negros,3,,,,,
1,,,Cruz Azul,4,,,,,
2,,,América,6,,,,,
3,,,Chiapas FC,6,,,,,
4,,,Pumas,6,,,,,
5,,,Atlético Español,8,,,,,
6,,,Chivas,10,,,,,
7,,,Potosino,14,,,,,
