,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Estudiantes,27,,,,,
1,,,Pachuca,35,,,,,
2,,,Monterrey,39,,,,,
3,,,León,42,,,,,
4,,,Cruz Azul,46,,,,,
5,,,América,46,,,,,
6,,,Necaxa,47,,,,,
7,,,Atlas,51,,,,,
8,,,Tigres,52,,,,,
9,,,Correcaminos,52,,,,,
10,,,Gallos Blancos,54,,,,,
11,,,Toluca,54,,,,,
12,,,Chivas,55,,,,,
13,,,Atlante,55,,,,,
14,,,Pumas,56,,,,,
15,,,Leones Negros,57,,,,,
16,,,Puebla,57,,,,,
17,,,Veracruz,58,,,,,
18,,,Morelia,61,,,,,
19,,,Santos,63,,,,,
