,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Pumas,10,,,,,
1,,,Morelia,13,,,,,
2,,,Toluca,15,,,,,
3,,,Monterrey,15,,,,,
4,,,Cruz Azul,20,,,,,
5,,,América,20,,,,,
6,,,Chivas,21,,,,,
7,,,Atlas,23,,,,,
8,,,Club Querétaro,24,,,,,
9,,,Gallos Blancos,25,,,,,
10,,,Santos,25,,,,,
11,,,Pachuca,26,,,,,
12,,,Tigres,26,,,,,
13,,,Atlante,29,,,,,
14,,,Indios,29,,,,,
15,,,Chiapas FC,29,,,,,
16,,,Puebla,31,,,,,
17,,,Estudiantes,32,,,,,
