,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,269,43,Club Tijuana,13,263,188,38,66,209
1,262,35,Tigres,13,252,185,42,60,201
2,246,33,Chivas,17,290,184,29,61,155
3,243,34,Necaxa,18,333,164,45,74,211
4,288,42,Toluca,21,243,200,46,83,226
5,253,37,Pachuca,21,291,171,45,67,220
6,270,27,Monterrey,21,264,206,37,75,187
7,208,28,Pumas,22,277,153,27,81,202
8,243,21,Cruz Azul,23,250,180,42,72,182
9,296,41,Club Querétaro,24,258,209,46,76,241
10,276,50,León,25,283,161,65,75,247
11,298,45,Atlas,25,274,201,52,82,229
12,233,43,América,26,284,147,43,72,209
13,239,25,Santos,30,273,166,48,81,222
14,259,50,Puebla,30,241,154,55,97,265
15,240,31,Chiapas FC,30,277,168,41,95,258
16,303,47,Morelia,34,256,183,73,105,328
17,225,32,Veracruz,38,279,142,51,118,277
