,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Toluca,35,,,,,
1,,,América,39,,,,,
2,,,Tigres,40,,,,,
3,,,Cruz Azul,45,,,,,
4,,,Leones Negros,47,,,,,
5,,,Chivas,47,,,,,
6,,,Estudiantes,48,,,,,
7,,,Santos Laguna,49,,,,,
8,,,Monterrey,50,,,,,
9,,,Atlético Español,51,,,,,
10,,,Puebla,51,,,,,
11,,,Pumas,53,,,,,
12,,,Atlante,56,,,,,
13,,,Tampico Madero,56,,,,,
14,,,Jalisco,59,,,,,
15,,,León,61,,,,,
16,,,Veracruz,63,,,,,
17,,,Potosino,64,,,,,
18,,,Curtidores,71,,,,,
19,,,Atlas,79,,,,,
