,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Pachuca,18,,,,,
1,,,Cruz Azul,21,,,,,
2,,,Necaxa,22,,,,,
3,,,América,23,,,,,
4,,,Tigres,23,,,,,
5,,,Morelia,24,,,,,
6,,,Toluca,26,,,,,
7,,,Irapuato,26,,,,,
8,,,Celaya,27,,,,,
9,,,Chivas,27,,,,,
10,,,Atlante,28,,,,,
11,,,Santos,29,,,,,
12,,,Atlas,29,,,,,
13,,,Puebla,29,,,,,
14,,,Pumas,29,,,,,
15,,,Monterrey,30,,,,,
16,,,León,33,,,,,
17,,,Estudiantes,36,,,,,
