,BLQ,CBLQ,Equipo,GC,INT,PBLQ,TBLQ,TGP,TTP
0,,,Chivas,30,,,,,
1,,,Pumas,37,,,,,
2,,,Cruz Azul,38,,,,,
3,,,América,40,,,,,
4,,,Leones Negros,43,,,,,
5,,,Puebla,44,,,,,
6,,,Atlante,44,,,,,
7,,,Tigres,45,,,,,
8,,,León,46,,,,,
9,,,Atlas,48,,,,,
10,,,Estudiantes,50,,,,,
11,,,Zacatepec,53,,,,,
12,,,Toluca,53,,,,,
13,,,Morelia,55,,,,,
14,,,Tampico Madero,58,,,,,
15,,,Toros Neza,58,,,,,
16,,,Necaxa,59,,,,,
17,,,Potosino,60,,,,,
18,,,Oaxtepec,61,,,,,
19,,,Monterrey,65,,,,,
