,away_team,date,home_team,result,round,season,season_round,time,venue,match_datetime,home_score,away_score
0,Tigres,"vie 5 de enero, 2018",Puebla,VS,jornada-1,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc,2018-01-05 19:00:00,,
1,León,"vie 5 de enero, 2018",Atlas,VS,jornada-1,clausura-2018,regular,21:00  Hrs.,Jalisco,2018-01-05 21:00:00,,
2,Club Tijuana,"sáb 6 de enero, 2018",Cruz Azul,VS,jornada-1,clausura-2018,regular,17:00  Hrs.,Azul,2018-01-06 17:00:00,,
3,Morelia,"sáb 6 de enero, 2018",Monterrey,VS,jornada-1,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer,2018-01-06 19:00:00,,
4,Pumas,"sáb 6 de enero, 2018",Pachuca,VS,jornada-1,clausura-2018,regular,19:06  Hrs.,Hidalgo,2018-01-06 19:06:00,,
5,Veracruz,"sáb 6 de enero, 2018",Necaxa,VS,jornada-1,clausura-2018,regular,21:00  Hrs.,Victoria,2018-01-06 21:00:00,,
6,Chivas,"dom 7 de enero, 2018",Toluca,VS,jornada-1,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega,2018-01-07 12:00:00,,
7,Lobos BUAP,"dom 7 de enero, 2018",Santos,VS,jornada-1,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona,2018-01-07 18:00:00,,
8,América,"dom 7 de enero, 2018",Club Querétaro,VS,jornada-1,clausura-2018,regular,18:00  Hrs.,La Corregidora,2018-01-07 18:00:00,,
9,Puebla,"vie 12 de enero, 2018",Morelia,VS,jornada-2,clausura-2018,regular,19:00  Hrs.,Morelos,2018-01-12 19:00:00,,
10,Necaxa,"vie 12 de enero, 2018",Club Tijuana,VS,jornada-2,clausura-2018,regular,21:00  Hrs.,Caliente,2018-01-12 21:00:00,,
11,Club Querétaro,"sáb 13 de enero, 2018",Lobos BUAP,VS,jornada-2,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP,2018-01-13 17:00:00,,
12,Santos,"sáb 13 de enero, 2018",Tigres,VS,jornada-2,clausura-2018,regular,19:00  Hrs.,Universitario,2018-01-13 19:00:00,,
13,Toluca,"sáb 13 de enero, 2018",León,VS,jornada-2,clausura-2018,regular,19:06  Hrs.,Estadio León,2018-01-13 19:06:00,,
14,Pachuca,"sáb 13 de enero, 2018",América,VS,jornada-2,clausura-2018,regular,21:00  Hrs.,Azteca,2018-01-13 21:00:00,,
15,Cruz Azul,"sáb 13 de enero, 2018",Chivas,VS,jornada-2,clausura-2018,regular,21:06  Hrs.,Chivas,2018-01-13 21:06:00,,
16,Atlas,"dom 14 de enero, 2018",Pumas,VS,jornada-2,clausura-2018,regular,12:00  Hrs.,Olímpico de CU,2018-01-14 12:00:00,,
17,Monterrey,"dom 14 de enero, 2018",Veracruz,VS,jornada-2,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente,2018-01-14 18:00:00,,
18,Veracruz,"vie 19 de enero, 2018",Puebla,VS,jornada-3,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc,2018-01-19 19:00:00,,
19,Toluca,"vie 19 de enero, 2018",Atlas,VS,jornada-3,clausura-2018,regular,21:00  Hrs.,Jalisco,2018-01-19 21:00:00,,
20,Tigres,"sáb 20 de enero, 2018",Club Querétaro,VS,jornada-3,clausura-2018,regular,17:00  Hrs.,La Corregidora,2018-01-20 17:00:00,,
21,León,"sáb 20 de enero, 2018",Cruz Azul,VS,jornada-3,clausura-2018,regular,17:00  Hrs.,Azul,2018-01-20 17:00:00,,
22,Club Tijuana,"sáb 20 de enero, 2018",Monterrey,VS,jornada-3,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer,2018-01-20 19:00:00,,
23,Lobos BUAP,"sáb 20 de enero, 2018",Pachuca,VS,jornada-3,clausura-2018,regular,19:06  Hrs.,Hidalgo,2018-01-20 19:06:00,,
24,Chivas,"sáb 20 de enero, 2018",Necaxa,VS,jornada-3,clausura-2018,regular,21:00  Hrs.,Victoria,2018-01-20 21:00:00,,
25,América,"dom 21 de enero, 2018",Pumas,VS,jornada-3,clausura-2018,regular,12:00  Hrs.,Olímpico de CU,2018-01-21 12:00:00,,
26,Morelia,"dom 21 de enero, 2018",Santos,VS,jornada-3,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona,2018-01-21 18:00:00,,
27,Club Querétaro,"vie 26 de enero, 2018",Morelia,VS,jornada-4,clausura-2018,regular,19:00  Hrs.,Morelos,2018-01-26 19:00:00,,
28,Puebla,"vie 26 de enero, 2018",Club Tijuana,VS,jornada-4,clausura-2018,regular,21:00  Hrs.,Caliente,2018-01-26 21:00:00,,
29,Pumas,"sáb 27 de enero, 2018",Lobos BUAP,VS,jornada-4,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP,2018-01-27 17:00:00,,
30,Pachuca,"sáb 27 de enero, 2018",Tigres,VS,jornada-4,clausura-2018,regular,19:00  Hrs.,Universitario,2018-01-27 19:00:00,,
31,Necaxa,"sáb 27 de enero, 2018",León,VS,jornada-4,clausura-2018,regular,19:06  Hrs.,Estadio León,2018-01-27 19:06:00,,
32,Atlas,"sáb 27 de enero, 2018",América,VS,jornada-4,clausura-2018,regular,21:00  Hrs.,Azteca,2018-01-27 21:00:00,,
33,Monterrey,"sáb 27 de enero, 2018",Chivas,VS,jornada-4,clausura-2018,regular,21:00  Hrs.,Chivas,2018-01-27 21:00:00,,
34,Cruz Azul,"dom 28 de enero, 2018",Toluca,VS,jornada-4,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega,2018-01-28 12:00:00,,
35,Santos,"dom 28 de enero, 2018",Veracruz,VS,jornada-4,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente,2018-01-28 18:00:00,,
36,Chivas,"vie 2 de febrero, 2018",Puebla,VS,jornada-5,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc,2018-02-02 19:00:00,,
37,Cruz Azul,"vie 2 de febrero, 2018",Atlas,VS,jornada-5,clausura-2018,regular,21:00  Hrs.,Jalisco,2018-02-02 21:00:00,,
38,Veracruz,"sáb 3 de febrero, 2018",Club Querétaro,VS,jornada-5,clausura-2018,regular,17:00  Hrs.,La Corregidora,2018-02-03 17:00:00,,
39,León,"sáb 3 de febrero, 2018",Monterrey,VS,jornada-5,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer,2018-02-03 19:00:00,,
40,Morelia,"sáb 3 de febrero, 2018",Pachuca,VS,jornada-5,clausura-2018,regular,19:06  Hrs.,Hidalgo,2018-02-03 19:06:00,,
41,Lobos BUAP,"sáb 3 de febrero, 2018",América,VS,jornada-5,clausura-2018,regular,21:00  Hrs.,Azteca,2018-02-03 21:00:00,,
42,Toluca,"sáb 3 de febrero, 2018",Necaxa,VS,jornada-5,clausura-2018,regular,21:00  Hrs.,Victoria,2018-02-03 21:00:00,,
43,Tigres,"dom 4 de febrero, 2018",Pumas,VS,jornada-5,clausura-2018,regular,12:00  Hrs.,Olímpico de CU,2018-02-04 12:00:00,,
44,Club Tijuana,"dom 4 de febrero, 2018",Santos,VS,jornada-5,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona,2018-02-04 18:00:00,,
45,Pumas,"vie 9 de febrero, 2018",Morelia,VS,jornada-6,clausura-2018,regular,19:00  Hrs.,Morelos,2018-02-09 19:00:00,,
46,Club Querétaro,"vie 9 de febrero, 2018",Club Tijuana,VS,jornada-6,clausura-2018,regular,21:00  Hrs.,Caliente,2018-02-09 21:00:00,,
47,Necaxa,"sáb 10 de febrero, 2018",Cruz Azul,VS,jornada-6,clausura-2018,regular,17:00  Hrs.,Azul,2018-02-10 17:00:00,,
48,Atlas,"sáb 10 de febrero, 2018",Lobos BUAP,VS,jornada-6,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP,2018-02-10 17:00:00,,
49,América,"sáb 10 de febrero, 2018",Tigres,VS,jornada-6,clausura-2018,regular,19:00  Hrs.,Universitario,2018-02-10 19:00:00,,
50,Puebla,"sáb 10 de febrero, 2018",León,VS,jornada-6,clausura-2018,regular,19:06  Hrs.,Estadio León,2018-02-10 19:06:00,,
51,Santos,"sáb 10 de febrero, 2018",Chivas,VS,jornada-6,clausura-2018,regular,21:06  Hrs.,Chivas,2018-02-10 21:06:00,,
52,Monterrey,"dom 11 de febrero, 2018",Toluca,VS,jornada-6,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega,2018-02-11 12:00:00,,
53,Pachuca,"dom 11 de febrero, 2018",Veracruz,VS,jornada-6,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente,2018-02-11 18:00:00,,
54,Necaxa,"mar 13 de febrero, 2018",Atlas,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,Jalisco,2018-02-13 00:00:00,,
55,Tigres,"mar 13 de febrero, 2018",Lobos BUAP,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,Estadio Universitario BUAP,2018-02-13 00:00:00,,
56,León,"mar 13 de febrero, 2018",Santos,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,Estadio TSM Corona,2018-02-13 00:00:00,,
57,Morelia,"mar 13 de febrero, 2018",América,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,Azteca,2018-02-13 00:00:00,,
58,Chivas,"mié 14 de febrero, 2018",Club Querétaro,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,La Corregidora,2018-02-14 00:00:00,,
59,Veracruz,"mié 14 de febrero, 2018",Pumas,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,Olímpico de CU,2018-02-14 00:00:00,,
60,Club Tijuana,"mié 14 de febrero, 2018",Pachuca,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,Hidalgo,2018-02-14 00:00:00,,
61,Cruz Azul,"mié 14 de febrero, 2018",Monterrey,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,BBVA Bancomer,2018-02-14 00:00:00,,
62,Toluca,"mié 14 de febrero, 2018",Puebla,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,Cuauhtémoc,2018-02-14 00:00:00,,
63,Lobos BUAP,"vie 16 de febrero, 2018",Morelia,VS,jornada-8,clausura-2018,regular,19:00  Hrs.,Morelos,2018-02-16 19:00:00,,
64,Puebla,"sáb 17 de febrero, 2018",Cruz Azul,VS,jornada-8,clausura-2018,regular,17:00  Hrs.,Azul,2018-02-17 17:00:00,,
65,Atlas,"sáb 17 de febrero, 2018",Tigres,VS,jornada-8,clausura-2018,regular,19:00  Hrs.,Universitario,2018-02-17 19:00:00,,
66,Club Querétaro,"sáb 17 de febrero, 2018",León,VS,jornada-8,clausura-2018,regular,19:06  Hrs.,Estadio León,2018-02-17 19:06:00,,
67,Pumas,"sáb 17 de febrero, 2018",Club Tijuana,VS,jornada-8,clausura-2018,regular,21:00  Hrs.,Caliente,2018-02-17 21:00:00,,
68,Monterrey,"sáb 17 de febrero, 2018",Necaxa,VS,jornada-8,clausura-2018,regular,21:00  Hrs.,Victoria,2018-02-17 21:00:00,,
69,Pachuca,"sáb 17 de febrero, 2018",Chivas,VS,jornada-8,clausura-2018,regular,21:06  Hrs.,Chivas,2018-02-17 21:06:00,,
70,Santos,"dom 18 de febrero, 2018",Toluca,VS,jornada-8,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega,2018-02-18 12:00:00,,
71,América,"dom 18 de febrero, 2018",Veracruz,VS,jornada-8,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente,2018-02-18 18:00:00,,
72,Necaxa,"vie 23 de febrero, 2018",Puebla,VS,jornada-9,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc,2018-02-23 19:00:00,,
73,Monterrey,"vie 23 de febrero, 2018",Atlas,VS,jornada-9,clausura-2018,regular,21:00  Hrs.,Jalisco,2018-02-23 21:00:00,,
74,Veracruz,"sáb 24 de febrero, 2018",Lobos BUAP,VS,jornada-9,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP,2018-02-24 17:00:00,,
75,Toluca,"sáb 24 de febrero, 2018",Club Querétaro,VS,jornada-9,clausura-2018,regular,17:00  Hrs.,La Corregidora,2018-02-24 17:00:00,,
76,Morelia,"sáb 24 de febrero, 2018",Tigres,VS,jornada-9,clausura-2018,regular,19:00  Hrs.,Universitario,2018-02-24 19:00:00,,
77,León,"sáb 24 de febrero, 2018",Pachuca,VS,jornada-9,clausura-2018,regular,19:06  Hrs.,Hidalgo,2018-02-24 19:06:00,,
78,Club Tijuana,"sáb 24 de febrero, 2018",América,VS,jornada-9,clausura-2018,regular,21:00  Hrs.,Azteca,2018-02-24 21:00:00,,
79,Chivas,"dom 25 de febrero, 2018",Pumas,VS,jornada-9,clausura-2018,regular,12:00  Hrs.,Olímpico de CU,2018-02-25 12:00:00,,
80,Cruz Azul,"dom 25 de febrero, 2018",Santos,VS,jornada-9,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona,2018-02-25 18:00:00,,
81,Atlas,"vie 2 de marzo, 2018",Morelia,VS,jornada-10,clausura-2018,regular,19:00  Hrs.,Morelos,2018-03-02 19:00:00,,
82,Lobos BUAP,"vie 2 de marzo, 2018",Club Tijuana,VS,jornada-10,clausura-2018,regular,21:00  Hrs.,Caliente,2018-03-02 21:00:00,,
83,Club Querétaro,"sáb 3 de marzo, 2018",Cruz Azul,VS,jornada-10,clausura-2018,regular,17:00  Hrs.,Azul,2018-03-03 17:00:00,,
84,Puebla,"sáb 3 de marzo, 2018",Monterrey,VS,jornada-10,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer,2018-03-03 19:00:00,,
85,Pumas,"sáb 3 de marzo, 2018",León,VS,jornada-10,clausura-2018,regular,19:06  Hrs.,Estadio León,2018-03-03 19:06:00,,
86,Santos,"sáb 3 de marzo, 2018",Necaxa,VS,jornada-10,clausura-2018,regular,21:00  Hrs.,Victoria,2018-03-03 21:00:00,,
87,América,"sáb 3 de marzo, 2018",Chivas,VS,jornada-10,clausura-2018,regular,21:06  Hrs.,Chivas,2018-03-03 21:06:00,,
88,Pachuca,"dom 4 de marzo, 2018",Toluca,VS,jornada-10,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega,2018-03-04 12:00:00,,
89,Tigres,"dom 4 de marzo, 2018",Veracruz,VS,jornada-10,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente,2018-03-04 18:00:00,,
90,Veracruz,"vie 9 de marzo, 2018",Morelia,VS,jornada-11,clausura-2018,regular,19:00  Hrs.,Morelos,2018-03-09 19:00:00,,
91,Puebla,"vie 9 de marzo, 2018",Atlas,VS,jornada-11,clausura-2018,regular,21:00  Hrs.,Jalisco,2018-03-09 21:00:00,,
92,Necaxa,"sáb 10 de marzo, 2018",Club Querétaro,VS,jornada-11,clausura-2018,regular,17:00  Hrs.,La Corregidora,2018-03-10 17:00:00,,
93,Chivas,"sáb 10 de marzo, 2018",Lobos BUAP,VS,jornada-11,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP,2018-03-10 17:00:00,,
94,Pachuca,"sáb 10 de marzo, 2018",Cruz Azul,VS,jornada-11,clausura-2018,regular,17:00  Hrs.,Azul,2018-03-10 17:00:00,,
95,Club Tijuana,"sáb 10 de marzo, 2018",Tigres,VS,jornada-11,clausura-2018,regular,19:00  Hrs.,Universitario,2018-03-10 19:00:00,,
96,León,"sáb 10 de marzo, 2018",América,VS,jornada-11,clausura-2018,regular,21:00  Hrs.,Azteca,2018-03-10 21:00:00,,
97,Toluca,"dom 11 de marzo, 2018",Pumas,VS,jornada-11,clausura-2018,regular,12:00  Hrs.,Olímpico de CU,2018-03-11 12:00:00,,
98,Monterrey,"dom 11 de marzo, 2018",Santos,VS,jornada-11,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona,2018-03-11 18:00:00,,
99,Santos,"vie 16 de marzo, 2018",Puebla,VS,jornada-12,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc,2018-03-16 19:00:00,,
100,Morelia,"vie 16 de marzo, 2018",Club Tijuana,VS,jornada-12,clausura-2018,regular,21:00  Hrs.,Caliente,2018-03-16 21:00:00,,
101,Pumas,"sáb 17 de marzo, 2018",Cruz Azul,VS,jornada-12,clausura-2018,regular,17:00  Hrs.,Azul,2018-03-17 17:00:00,,
102,Club Querétaro,"sáb 17 de marzo, 2018",Monterrey,VS,jornada-12,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer,2018-03-17 19:00:00,,
103,Toluca,"sáb 17 de marzo, 2018",América,VS,jornada-12,clausura-2018,regular,21:00  Hrs.,Azteca,2018-03-17 21:00:00,,
104,Pachuca,"sáb 17 de marzo, 2018",Necaxa,VS,jornada-12,clausura-2018,regular,21:00  Hrs.,Victoria,2018-03-17 21:00:00,,
105,Tigres,"sáb 17 de marzo, 2018",Chivas,VS,jornada-12,clausura-2018,regular,21:06  Hrs.,Chivas,2018-03-17 21:06:00,,
106,Atlas,"dom 18 de marzo, 2018",Veracruz,VS,jornada-12,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente,2018-03-18 18:00:00,,
107,Lobos BUAP,"dom 18 de marzo, 2018",León,VS,jornada-12,clausura-2018,regular,19:06  Hrs.,Estadio León,2018-03-18 19:06:00,,
108,Chivas,"vie 30 de marzo, 2018",Morelia,VS,jornada-13,clausura-2018,regular,19:00  Hrs.,Morelos,2018-03-30 19:00:00,,
109,Santos,"vie 30 de marzo, 2018",Atlas,VS,jornada-13,clausura-2018,regular,21:00  Hrs.,Jalisco,2018-03-30 21:00:00,,
110,Toluca,"sáb 31 de marzo, 2018",Lobos BUAP,VS,jornada-13,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP,2018-03-31 17:00:00,,
111,Puebla,"sáb 31 de marzo, 2018",Club Querétaro,VS,jornada-13,clausura-2018,regular,17:00  Hrs.,La Corregidora,2018-03-31 17:00:00,,
112,León,"sáb 31 de marzo, 2018",Tigres,VS,jornada-13,clausura-2018,regular,19:00  Hrs.,Universitario,2018-03-31 19:00:00,,
113,Monterrey,"sáb 31 de marzo, 2018",Pachuca,VS,jornada-13,clausura-2018,regular,19:06  Hrs.,Hidalgo,2018-03-31 19:06:00,,
114,Cruz Azul,"sáb 31 de marzo, 2018",América,VS,jornada-13,clausura-2018,regular,21:00  Hrs.,Azteca,2018-03-31 21:00:00,,
115,Necaxa,"dom 1 de abril, 2018",Pumas,VS,jornada-13,clausura-2018,regular,12:00  Hrs.,Olímpico de CU,2018-04-01 12:00:00,,
116,Club Tijuana,"dom 1 de abril, 2018",Veracruz,VS,jornada-13,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente,2018-04-01 18:00:00,,
117,Pachuca,"vie 6 de abril, 2018",Puebla,VS,jornada-14,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc,2018-04-06 19:00:00,,
118,Atlas,"vie 6 de abril, 2018",Club Tijuana,VS,jornada-14,clausura-2018,regular,21:00  Hrs.,Caliente,2018-04-06 21:00:00,,
119,Lobos BUAP,"sáb 7 de abril, 2018",Cruz Azul,VS,jornada-14,clausura-2018,regular,17:00  Hrs.,Azul,2018-04-07 17:00:00,,
120,Pumas,"sáb 7 de abril, 2018",Monterrey,VS,jornada-14,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer,2018-04-07 19:00:00,,
121,Morelia,"sáb 7 de abril, 2018",León,VS,jornada-14,clausura-2018,regular,19:06  Hrs.,Estadio León,2018-04-07 19:06:00,,
122,América,"sáb 7 de abril, 2018",Necaxa,VS,jornada-14,clausura-2018,regular,21:00  Hrs.,Victoria,2018-04-07 21:00:00,,
123,Veracruz,"sáb 7 de abril, 2018",Chivas,VS,jornada-14,clausura-2018,regular,21:06  Hrs.,Chivas,2018-04-07 21:06:00,,
124,Tigres,"dom 8 de abril, 2018",Toluca,VS,jornada-14,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega,2018-04-08 12:00:00,,
125,Club Querétaro,"dom 8 de abril, 2018",Santos,VS,jornada-14,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona,2018-04-08 18:00:00,,
126,Toluca,"vie 13 de abril, 2018",Morelia,VS,jornada-15,clausura-2018,regular,19:00  Hrs.,Morelos,2018-04-13 19:00:00,,
127,Club Querétaro,"vie 13 de abril, 2018",Atlas,VS,jornada-15,clausura-2018,regular,21:00  Hrs.,Jalisco,2018-04-13 21:00:00,,
128,Chivas,"vie 13 de abril, 2018",Club Tijuana,VS,jornada-15,clausura-2018,regular,21:00  Hrs.,Caliente,2018-04-13 21:00:00,,
129,Necaxa,"sáb 14 de abril, 2018",Lobos BUAP,VS,jornada-15,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP,2018-04-14 17:00:00,,
130,Cruz Azul,"sáb 14 de abril, 2018",Tigres,VS,jornada-15,clausura-2018,regular,19:00  Hrs.,Universitario,2018-04-14 19:00:00,,
131,Santos,"sáb 14 de abril, 2018",Pachuca,VS,jornada-15,clausura-2018,regular,19:06  Hrs.,Hidalgo,2018-04-14 19:06:00,,
132,Monterrey,"sáb 14 de abril, 2018",América,VS,jornada-15,clausura-2018,regular,21:00  Hrs.,Azteca,2018-04-14 21:00:00,,
133,Puebla,"dom 15 de abril, 2018",Pumas,VS,jornada-15,clausura-2018,regular,12:00  Hrs.,Olímpico de CU,2018-04-15 12:00:00,,
134,León,"dom 15 de abril, 2018",Veracruz,VS,jornada-15,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente,2018-04-15 18:00:00,,
135,América,"vie 20 de abril, 2018",Puebla,VS,jornada-16,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc,2018-04-20 19:00:00,,
136,Chivas,"vie 20 de abril, 2018",Atlas,VS,jornada-16,clausura-2018,regular,21:00  Hrs.,Jalisco,2018-04-20 21:00:00,,
137,Morelia,"sáb 21 de abril, 2018",Cruz Azul,VS,jornada-16,clausura-2018,regular,17:00  Hrs.,Azul,2018-04-21 17:00:00,,
138,Pachuca,"sáb 21 de abril, 2018",Club Querétaro,VS,jornada-16,clausura-2018,regular,17:00  Hrs.,La Corregidora,2018-04-21 17:00:00,,
139,Lobos BUAP,"sáb 21 de abril, 2018",Monterrey,VS,jornada-16,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer,2018-04-21 19:00:00,,
140,Club Tijuana,"sáb 21 de abril, 2018",León,VS,jornada-16,clausura-2018,regular,19:06  Hrs.,Estadio León,2018-04-21 19:06:00,,
141,Tigres,"sáb 21 de abril, 2018",Necaxa,VS,jornada-16,clausura-2018,regular,21:00  Hrs.,Victoria,2018-04-21 21:00:00,,
142,Veracruz,"dom 22 de abril, 2018",Toluca,VS,jornada-16,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega,2018-04-22 12:00:00,,
143,Pumas,"dom 22 de abril, 2018",Santos,VS,jornada-16,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona,2018-04-22 18:00:00,,
144,Necaxa,"vie 27 de abril, 2018",Morelia,VS,jornada-17,clausura-2018,regular,19:00  Hrs.,Morelos,2018-04-27 19:00:00,,
145,Toluca,"vie 27 de abril, 2018",Club Tijuana,VS,jornada-17,clausura-2018,regular,21:00  Hrs.,Caliente,2018-04-27 21:00:00,,
146,Puebla,"sáb 28 de abril, 2018",Lobos BUAP,VS,jornada-17,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP,2018-04-28 17:00:00,,
147,Monterrey,"sáb 28 de abril, 2018",Tigres,VS,jornada-17,clausura-2018,regular,19:00  Hrs.,Universitario,2018-04-28 19:00:00,,
148,Atlas,"sáb 28 de abril, 2018",Pachuca,VS,jornada-17,clausura-2018,regular,19:06  Hrs.,Hidalgo,2018-04-28 19:06:00,,
149,Santos,"sáb 28 de abril, 2018",América,VS,jornada-17,clausura-2018,regular,21:00  Hrs.,Azteca,2018-04-28 21:00:00,,
150,León,"sáb 28 de abril, 2018",Chivas,VS,jornada-17,clausura-2018,regular,21:06  Hrs.,Chivas,2018-04-28 21:06:00,,
151,Club Querétaro,"dom 29 de abril, 2018",Pumas,VS,jornada-17,clausura-2018,regular,12:00  Hrs.,Olímpico de CU,2018-04-29 12:00:00,,
152,Cruz Azul,"dom 29 de abril, 2018",Veracruz,VS,jornada-17,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente,2018-04-29 18:00:00,,
153,Tigres,"vie 5 de enero, 2018",Puebla,VS,jornada-18,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc,2018-01-05 19:00:00,,
154,León,"vie 5 de enero, 2018",Atlas,VS,jornada-18,clausura-2018,regular,21:00  Hrs.,Jalisco,2018-01-05 21:00:00,,
155,Club Tijuana,"sáb 6 de enero, 2018",Cruz Azul,VS,jornada-18,clausura-2018,regular,17:00  Hrs.,Azul,2018-01-06 17:00:00,,
156,Morelia,"sáb 6 de enero, 2018",Monterrey,VS,jornada-18,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer,2018-01-06 19:00:00,,
157,Pumas,"sáb 6 de enero, 2018",Pachuca,VS,jornada-18,clausura-2018,regular,19:06  Hrs.,Hidalgo,2018-01-06 19:06:00,,
158,Veracruz,"sáb 6 de enero, 2018",Necaxa,VS,jornada-18,clausura-2018,regular,21:00  Hrs.,Victoria,2018-01-06 21:00:00,,
159,Chivas,"dom 7 de enero, 2018",Toluca,VS,jornada-18,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega,2018-01-07 12:00:00,,
160,Lobos BUAP,"dom 7 de enero, 2018",Santos,VS,jornada-18,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona,2018-01-07 18:00:00,,
161,América,"dom 7 de enero, 2018",Club Querétaro,VS,jornada-18,clausura-2018,regular,18:00  Hrs.,La Corregidora,2018-01-07 18:00:00,,
162,Tigres,"vie 5 de enero, 2018",Puebla,VS,jornada-19,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc,2018-01-05 19:00:00,,
163,León,"vie 5 de enero, 2018",Atlas,VS,jornada-19,clausura-2018,regular,21:00  Hrs.,Jalisco,2018-01-05 21:00:00,,
164,Club Tijuana,"sáb 6 de enero, 2018",Cruz Azul,VS,jornada-19,clausura-2018,regular,17:00  Hrs.,Azul,2018-01-06 17:00:00,,
165,Morelia,"sáb 6 de enero, 2018",Monterrey,VS,jornada-19,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer,2018-01-06 19:00:00,,
166,Pumas,"sáb 6 de enero, 2018",Pachuca,VS,jornada-19,clausura-2018,regular,19:06  Hrs.,Hidalgo,2018-01-06 19:06:00,,
167,Veracruz,"sáb 6 de enero, 2018",Necaxa,VS,jornada-19,clausura-2018,regular,21:00  Hrs.,Victoria,2018-01-06 21:00:00,,
168,Chivas,"dom 7 de enero, 2018",Toluca,VS,jornada-19,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega,2018-01-07 12:00:00,,
169,Lobos BUAP,"dom 7 de enero, 2018",Santos,VS,jornada-19,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona,2018-01-07 18:00:00,,
170,América,"dom 7 de enero, 2018",Club Querétaro,VS,jornada-19,clausura-2018,regular,18:00  Hrs.,La Corregidora,2018-01-07 18:00:00,,
171,Tigres,"vie 5 de enero, 2018",Puebla,VS,jornada-20,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc,2018-01-05 19:00:00,,
172,León,"vie 5 de enero, 2018",Atlas,VS,jornada-20,clausura-2018,regular,21:00  Hrs.,Jalisco,2018-01-05 21:00:00,,
173,Club Tijuana,"sáb 6 de enero, 2018",Cruz Azul,VS,jornada-20,clausura-2018,regular,17:00  Hrs.,Azul,2018-01-06 17:00:00,,
174,Morelia,"sáb 6 de enero, 2018",Monterrey,VS,jornada-20,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer,2018-01-06 19:00:00,,
