tournament,team,pts,jj,dg,jg,je,jp,gf,gc
invierno-2000,Atlante,17,17,-4,3,8,6,24,28
invierno-2000,Atlas,25,17,6,6,7,4,35,29
invierno-2000,Irapuato,25,17,2,6,7,4,28,26
invierno-2000,Tigres,24,17,0,6,6,5,23,23
invierno-2000,Pumas,19,17,-5,5,4,8,24,29
invierno-2000,Celaya,13,17,-6,3,4,10,21,27
invierno-2000,Necaxa,28,17,7,8,4,5,29,22
invierno-2000,Santos,26,17,3,7,5,5,32,29
invierno-2000,Monterrey,20,17,-7,5,5,7,23,30
invierno-2000,Puebla,16,17,-11,4,4,9,18,29
invierno-2000,Pachuca,28,17,6,8,4,5,24,18
invierno-2000,América,26,17,3,7,5,5,26,23
invierno-2000,Estudiantes,25,17,-3,7,4,6,33,36
invierno-2000,Chivas,14,17,-9,3,5,9,18,27
verano-2000,Toluca,40,17,16,13,1,3,44,28
verano-2000,Pumas,28,17,7,8,4,5,29,22
verano-2000,Toros Neza,20,17,-12,6,2,9,25,37
verano-2000,Estudiantes,19,17,-11,6,1,10,22,33
verano-2000,León,15,17,-7,3,6,8,23,30
verano-2000,Morelia,24,17,7,5,9,3,28,21
verano-2000,Puebla,24,17,2,6,6,5,30,28
verano-2000,Cruz Azul,21,17,5,6,3,8,38,33
verano-2000,Monterrey,21,17,-11,5,6,6,20,31
verano-2000,Celaya,19,17,-5,4,7,6,23,28
verano-2000,Santos,31,17,9,8,7,2,31,22
verano-2000,Atlas,26,17,3,7,5,5,32,29
verano-2000,América,23,17,5,6,5,6,36,31
verano-2000,Atlante,11,17,-18,2,5,10,16,34
verano-2000,Chivas,27,17,8,7,6,4,25,17
verano-2000,Necaxa,25,17,6,6,7,4,27,21
verano-2000,Tigres,22,17,3,5,7,5,25,22
verano-2000,Pachuca,17,17,-7,4,5,8,18,25
invierno-1999,Toluca,32,17,15,9,5,3,40,25
invierno-1999,Estudiantes,23,17,-9,7,2,8,26,35
invierno-1999,Pumas,21,17,-4,6,3,8,28,32
invierno-1999,León,18,17,-10,5,3,9,22,32
invierno-1999,Toros Neza,12,17,-22,3,3,11,19,41
invierno-1999,Cruz Azul,27,17,9,7,6,4,25,16
invierno-1999,Morelia,22,17,0,6,4,7,26,26
invierno-1999,Puebla,20,17,0,5,5,7,19,19
invierno-1999,Monterrey,20,17,-6,6,2,9,29,35
invierno-1999,Celaya,19,17,-8,5,4,8,19,27
invierno-1999,Atlas,38,17,24,11,5,1,40,16
invierno-1999,América,28,17,13,8,4,5,31,18
invierno-1999,Santos,20,17,-8,5,5,7,27,35
invierno-1999,Atlante,16,17,-9,3,7,7,20,29
invierno-1999,Necaxa,30,17,10,9,3,5,32,22
invierno-1999,Chivas,28,17,1,8,4,5,20,19
invierno-1999,Pachuca,26,17,0,8,2,7,28,28
invierno-1999,Tigres,22,17,4,5,7,5,27,23
verano-1999,Cruz Azul,31,17,6,9,4,4,30,24
verano-1999,Chivas,26,17,3,7,5,5,24,21
verano-1999,Celaya,24,17,3,6,6,5,29,26
verano-1999,León,16,17,-14,5,1,11,19,33
verano-1999,Puebla,13,17,-15,3,4,10,15,30
verano-1999,América,31,17,5,9,4,4,30,25
verano-1999,Morelia,25,17,0,8,1,8,23,23
verano-1999,Pachuca,24,17,1,6,6,5,23,22
verano-1999,Pumas,21,17,-8,6,3,8,19,27
verano-1999,Toros Neza,17,17,-8,4,5,8,21,29
verano-1999,Necaxa,22,17,5,5,7,5,30,25
verano-1999,Estudiantes,19,17,-7,6,1,10,21,28
verano-1999,Atlante,18,17,-3,4,6,7,31,34
verano-1999,Monterrey,14,17,-13,4,2,11,25,38
verano-1999,Toluca,39,17,27,12,3,2,50,23
verano-1999,Atlas,34,17,12,10,4,3,34,22
verano-1999,Santos,29,17,4,9,2,6,33,29
verano-1999,Tigres,23,17,2,7,2,8,34,32
invierno-1998,Cruz Azul,40,17,27,12,4,1,41,14
invierno-1998,Chivas,34,17,9,10,4,3,34,25
invierno-1998,Celaya,22,17,-1,6,4,7,28,29
invierno-1998,León,16,17,-9,4,4,9,25,34
invierno-1998,Puebla,9,17,-28,2,3,12,13,41
invierno-1998,Morelia,27,17,0,8,3,6,28,28
invierno-1998,Pumas,26,17,6,7,5,5,26,20
invierno-1998,América,22,17,-1,6,4,7,30,31
invierno-1998,Pachuca,16,17,-11,5,1,11,28,39
invierno-1998,Toros Neza,9,17,-18,2,3,12,18,36
invierno-1998,Necaxa,32,17,14,10,2,5,36,22
invierno-1998,Estudiantes,31,17,8,9,4,4,31,23
invierno-1998,Atlante,19,17,-8,5,4,8,22,30
invierno-1998,Monterrey,19,17,-10,4,7,6,20,30
invierno-1998,Toluca,36,17,25,10,6,1,39,14
invierno-1998,Atlas,26,17,6,8,2,7,34,28
invierno-1998,Tigres,22,17,2,5,7,5,30,28
invierno-1998,Santos,17,17,-11,4,5,8,22,33
verano-1998,Atlante,23,17,1,5,8,4,19,18
verano-1998,Puebla,18,17,-7,4,6,7,23,30
verano-1998,León,17,17,-12,4,5,8,20,32
verano-1998,Celaya,15,17,-10,3,6,8,13,23
verano-1998,Veracruz,14,17,-9,3,5,9,20,29
verano-1998,Toluca,33,17,14,10,3,4,39,25
verano-1998,Cruz Azul,30,17,14,8,6,3,32,18
verano-1998,Tigres,23,17,-7,7,2,8,15,22
verano-1998,Chivas,19,17,2,5,4,8,19,17
verano-1998,Monterrey,18,17,-5,4,6,7,20,25
verano-1998,Santos,26,17,2,8,2,7,24,22
verano-1998,Toros Neza,24,17,-3,7,3,7,21,24
verano-1998,Morelia,21,17,-4,5,6,6,26,30
verano-1998,Pumas,21,17,-5,6,3,8,23,28
verano-1998,Necaxa,32,17,16,10,2,5,34,18
verano-1998,Atlas,30,17,6,9,3,5,29,23
verano-1998,Estudiantes,30,17,2,9,3,5,23,21
verano-1998,América,26,17,5,7,5,5,27,22
invierno-1997,León,32,17,8,9,5,3,30,22
invierno-1997,Atlante,30,17,9,8,6,3,26,17
invierno-1997,Veracruz,21,17,-6,5,6,6,19,25
invierno-1997,Celaya,20,17,-5,5,5,7,21,26
invierno-1997,Puebla,19,17,-7,5,4,8,20,27
invierno-1997,Cruz Azul,31,17,13,8,7,2,29,16
invierno-1997,Chivas,29,17,4,8,5,4,28,24
invierno-1997,Monterrey,22,17,0,6,4,7,22,22
invierno-1997,Toluca,19,17,0,5,4,8,21,21
invierno-1997,Tigres,18,17,-6,5,3,9,20,26
invierno-1997,Morelia,28,17,6,7,7,3,25,19
invierno-1997,Toros Neza,23,17,0,6,5,6,29,29
invierno-1997,Pumas,16,17,-4,3,7,7,26,30
invierno-1997,Santos,16,17,-9,3,7,7,22,31
invierno-1997,América,29,17,8,8,5,4,27,19
invierno-1997,Atlas,23,17,2,6,5,6,28,26
invierno-1997,Necaxa,18,17,-5,4,6,7,26,31
invierno-1997,Estudiantes,16,17,-8,3,7,7,19,27
verano-1997,Toros Neza,30,17,8,9,3,5,40,32
verano-1997,Atlante,28,17,4,8,4,5,23,19
verano-1997,Cruz Azul,25,17,-3,7,4,6,21,24
verano-1997,Puebla,20,17,-3,4,8,5,15,18
verano-1997,Veracruz,10,17,-14,2,4,11,17,31
verano-1997,América,37,17,15,11,4,2,27,12
verano-1997,Necaxa,28,17,13,8,4,5,33,20
verano-1997,Morelia,25,17,3,6,7,4,26,23
verano-1997,León,23,17,3,5,8,4,21,18
verano-1997,Pachuca,17,17,-8,5,2,10,24,32
verano-1997,Chivas,34,17,11,9,7,1,27,16
verano-1997,Pumas,27,17,-1,8,3,6,25,26
verano-1997,Toluca,21,17,5,5,6,6,26,21
verano-1997,Atlas,16,17,-13,4,4,9,23,36
verano-1997,Santos,26,17,-1,8,2,7,27,28
verano-1997,Estudiantes,20,17,2,5,5,7,26,24
verano-1997,Monterrey,18,17,-13,5,3,9,25,38
verano-1997,Celaya,12,17,-8,2,6,9,20,28
invierno-1996,Atlante,38,17,19,12,2,3,30,11
invierno-1996,Puebla,31,17,10,9,4,4,32,22
invierno-1996,Toros Neza,24,17,-6,8,0,9,30,36
invierno-1996,Cruz Azul,20,17,0,5,5,7,26,26
invierno-1996,Veracruz,18,17,-7,4,6,7,14,21
invierno-1996,Necaxa,29,17,5,8,5,4,24,19
invierno-1996,León,23,17,5,5,8,4,24,19
invierno-1996,América,17,17,-3,4,5,8,24,27
invierno-1996,Pachuca,15,17,-11,3,6,8,25,36
invierno-1996,Morelia,12,17,-11,3,3,11,20,31
invierno-1996,Chivas,31,17,14,9,4,4,33,19
invierno-1996,Toluca,30,17,11,9,3,5,26,15
invierno-1996,Atlas,26,17,2,6,8,3,28,26
invierno-1996,Pumas,18,17,-4,4,6,7,23,27
invierno-1996,Santos,34,17,6,10,4,3,21,15
invierno-1996,Monterrey,19,17,-6,5,4,8,15,21
invierno-1996,Estudiantes,18,17,-10,5,3,9,20,30
invierno-1996,Celaya,17,17,-14,5,2,10,19,33
temporada-1995-1996,Veracruz,50,34,-1,15,5,14,44,45
temporada-1995-1996,Tigres,49,34,0,12,13,9,38,38
temporada-1995-1996,Chivas,43,34,-5,11,10,13,37,42
temporada-1995-1996,Santos,37,34,-2,9,10,15,41,43
temporada-1995-1996,Toluca,37,34,-12,10,7,17,33,45
temporada-1995-1996,Celaya,52,34,3,14,10,10,49,46
temporada-1995-1996,América,46,34,12,10,16,8,57,45
temporada-1995-1996,Morelia,36,34,-16,9,9,16,36,52
temporada-1995-1996,Atlante,33,34,-17,7,12,15,39,56
temporada-1995-1996,Puebla,28,34,-25,6,10,18,29,54
temporada-1995-1996,Cruz Azul,56,34,23,14,14,6,61,38
temporada-1995-1996,Monterrey,51,34,5,13,12,9,52,47
temporada-1995-1996,Pumas,50,34,9,13,11,10,50,41
temporada-1995-1996,León,50,34,6,13,11,10,55,49
temporada-1995-1996,Necaxa,55,34,17,15,10,9,58,41
temporada-1995-1996,Atlas,53,34,6,14,11,9,51,45
temporada-1995-1996,Toros Neza,50,34,3,13,11,10,53,50
temporada-1995-1996,Estudiantes,42,34,-6,8,18,8,41,47
temporada-1994-1995,América,70,36,42,19,13,4,88,46
temporada-1994-1995,Necaxa,60,36,30,15,15,6,68,38
temporada-1994-1995,Estudiantes,57,36,4,14,15,7,50,46
temporada-1994-1995,Toros Neza,44,36,-7,12,8,16,55,62
temporada-1994-1995,Tigres,30,36,-17,7,9,20,33,50
temporada-1994-1995,Cruz Azul,68,36,46,20,8,8,91,45
temporada-1994-1995,Veracruz,47,36,-8,12,11,13,43,51
temporada-1994-1995,Atlante,44,36,-12,11,11,14,57,69
temporada-1994-1995,Morelia,40,36,-19,9,13,14,55,74
temporada-1994-1995,Correcaminos,40,36,-21,10,10,16,42,63
temporada-1994-1995,Chivas,76,36,36,23,7,6,70,34
temporada-1994-1995,Pumas,56,36,12,15,11,10,49,37
temporada-1994-1995,Puebla,52,36,4,12,16,8,45,41
temporada-1994-1995,Toluca,36,36,-14,9,9,18,43,57
temporada-1994-1995,Tampico Madero,31,36,-32,8,7,21,41,73
temporada-1994-1995,Santos,45,36,-4,12,9,15,58,62
temporada-1994-1995,Atlas,44,36,-9,12,8,16,43,52
temporada-1994-1995,Monterrey,42,36,-15,9,15,12,37,52
temporada-1994-1995,León,42,36,-16,11,9,16,39,55
temporada-1993-1994,Santos,59,38,1,15,14,9,58,57
temporada-1993-1994,Necaxa,51,38,3,12,15,11,54,51
temporada-1993-1994,Puebla,43,38,-8,9,16,13,41,49
temporada-1993-1994,Leones Negros,38,38,-21,8,14,16,39,60
temporada-1993-1994,Tigres,37,38,-24,7,16,15,34,58
temporada-1993-1994,Atlante,61,38,19,19,4,15,78,59
temporada-1993-1994,Pumas,53,38,11,15,8,15,57,46
temporada-1993-1994,Morelia,53,38,-1,14,11,13,64,65
temporada-1993-1994,León,50,38,-5,13,11,14,45,50
temporada-1993-1994,Gallos Blancos,33,38,-21,6,15,17,38,59
temporada-1993-1994,Cruz Azul,66,38,29,18,12,8,62,33
temporada-1993-1994,Toluca,64,38,21,18,10,10,53,32
temporada-1993-1994,América,57,38,16,17,6,15,67,51
temporada-1993-1994,Veracruz,46,38,-15,12,10,16,50,65
temporada-1993-1994,Correcaminos,33,38,-17,6,15,17,36,53
temporada-1993-1994,Estudiantes,68,38,24,17,17,4,49,25
temporada-1993-1994,Atlas,59,38,15,16,11,11,55,40
temporada-1993-1994,Chivas,58,38,9,15,13,10,43,34
temporada-1993-1994,Monterrey,48,38,-15,12,12,14,56,71
temporada-1993-1994,Toros Neza,42,38,-21,10,12,16,46,67
temporada-1992--1993,Atlante,55,38,11,14,13,11,66,55
temporada-1992--1993,Veracruz,51,38,1,14,9,15,56,55
temporada-1992--1993,Gallos Blancos,37,38,-24,10,7,21,30,54
temporada-1992--1993,Santos,36,38,-25,7,15,16,33,58
temporada-1992--1993,Correcaminos,28,38,-29,5,13,20,25,54
temporada-1992--1993,Necaxa,77,38,33,23,8,7,76,43
temporada-1992--1993,América,65,38,5,18,11,9,51,46
temporada-1992--1993,Estudiantes,61,38,10,15,16,7,42,32
temporada-1992--1993,Puebla,57,38,1,15,12,11,58,57
temporada-1992--1993,Morelia,38,38,-18,8,14,16,43,61
temporada-1992--1993,Cruz Azul,61,38,24,17,10,11,69,45
temporada-1992--1993,Tigres,58,38,5,14,16,8,57,52
temporada-1992--1993,Atlas,49,38,-4,12,13,13,48,52
temporada-1992--1993,Chivas,44,38,-10,11,11,16,43,53
temporada-1992--1993,Leones Negros,38,38,-17,8,14,16,37,54
temporada-1992--1993,León,64,38,26,17,13,8,64,38
temporada-1992--1993,Pumas,61,38,16,17,10,11,69,53
temporada-1992--1993,Monterrey,60,38,12,15,15,8,51,39
temporada-1992--1993,Toluca,41,38,-1,9,14,15,49,50
temporada-1992--1993,Pachuca,38,38,-16,10,8,20,40,56
temporada-1991-1992,Pumas,59,38,12,15,14,9,53,41
temporada-1991-1992,Veracruz,56,38,9,16,8,14,52,43
temporada-1991-1992,Atlas,46,38,0,10,16,12,37,37
temporada-1991-1992,Estudiantes,36,38,-13,8,12,18,34,47
temporada-1991-1992,Cobras,29,38,-25,6,11,21,33,58
temporada-1991-1992,Chivas,58,38,10,13,19,6,41,31
temporada-1991-1992,Puebla,56,38,3,14,14,10,44,41
temporada-1991-1992,Correcaminos,53,38,4,14,11,13,46,42
temporada-1991-1992,Monterrey,48,38,-9,12,12,14,40,49
temporada-1991-1992,Gallos Blancos,39,38,-14,9,12,17,36,50
temporada-1991-1992,Necaxa,62,38,21,16,14,8,67,46
temporada-1991-1992,León,59,38,8,15,14,9,45,37
temporada-1991-1992,Cruz Azul,58,38,7,15,13,10,59,52
temporada-1991-1992,Toluca,51,38,-2,13,12,13,47,49
temporada-1991-1992,Santos,46,38,-9,12,10,16,42,51
temporada-1991-1992,Atlante,69,38,18,19,12,7,65,47
temporada-1991-1992,América,55,38,2,14,13,11,46,44
temporada-1991-1992,Tigres,52,38,1,14,10,14,52,51
temporada-1991-1992,Morelia,45,38,-6,10,15,13,41,47
temporada-1991-1992,Leones Negros,37,38,-17,9,10,19,42,59
temporada-1990-1991,América,58,38,8,15,13,10,59,51
temporada-1990-1991,Necaxa,47,38,-10,12,11,15,61,71
temporada-1990-1991,Morelia,45,38,-3,10,15,13,48,51
temporada-1990-1991,Estudiantes,43,38,-8,10,13,15,43,51
temporada-1990-1991,Santos,32,38,-18,6,14,18,35,53
temporada-1990-1991,Pumas,78,38,36,24,6,8,67,31
temporada-1990-1991,Cruz Azul,60,38,9,15,15,8,47,38
temporada-1990-1991,Veracruz,57,38,5,16,9,13,59,54
temporada-1990-1991,Toluca,50,38,3,12,14,12,53,50
temporada-1990-1991,Correcaminos,45,38,-11,10,15,13,35,46
temporada-1990-1991,Puebla,53,38,-3,14,11,13,40,43
temporada-1990-1991,Chivas,51,38,7,10,21,7,43,36
temporada-1990-1991,Tigres,48,38,-4,12,12,14,45,49
temporada-1990-1991,Gallos Blancos,38,38,-8,8,14,16,49,57
temporada-1990-1991,Irapuato,33,38,-34,7,12,19,38,72
temporada-1990-1991,Monterrey,64,38,19,18,10,10,60,41
temporada-1990-1991,Leones Negros,59,38,7,16,11,11,47,40
temporada-1990-1991,León,58,38,14,16,10,12,54,40
temporada-1990-1991,Atlas,55,38,6,15,10,13,38,32
temporada-1990-1991,Cobras,41,38,-15,9,14,15,36,51
temporada-1989-1990,Pumas,64,38,25,16,16,6,61,36
temporada-1989-1990,Puebla,63,38,15,17,12,9,57,42
temporada-1989-1990,Monterrey,56,38,7,14,14,10,54,47
temporada-1989-1990,Morelia,53,38,2,14,11,13,44,42
temporada-1989-1990,Irapuato,48,38,-3,10,18,10,37,40
temporada-1989-1990,Leones Negros,54,38,2,14,12,12,47,45
temporada-1989-1990,Toluca,50,38,10,11,17,10,42,32
temporada-1989-1990,Santos,43,38,-12,10,13,15,37,49
temporada-1989-1990,Cruz Azul,42,38,-14,8,18,12,47,61
temporada-1989-1990,Atlante,33,38,-19,7,12,19,27,46
temporada-1989-1990,América,64,38,25,16,16,6,70,45
temporada-1989-1990,Correcaminos,54,38,-2,14,12,12,34,36
temporada-1989-1990,Atlas,47,38,3,10,17,11,32,29
temporada-1989-1990,Estudiantes,43,38,-8,9,16,13,45,53
temporada-1989-1990,Tampico Madero,36,38,-20,8,12,18,28,48
temporada-1989-1990,Tigres,54,38,-2,14,12,12,62,64
temporada-1989-1990,Cobras,50,38,-5,12,14,12,43,48
temporada-1989-1990,Chivas,48,38,-1,10,18,10,41,42
temporada-1989-1990,Necaxa,47,38,0,10,17,11,36,36
temporada-1989-1990,Veracruz,46,38,-3,11,13,14,50,53
liguilla-1988-1989,Chivas,12,6,5,4,0,2,9,4
liguilla-1988-1989,América,11,6,6,3,2,1,12,6
liguilla-1988-1989,Estudiantes,6,6,-7,2,0,4,3,10
liguilla-1988-1989,Puebla,5,6,-4,1,2,3,5,9
liguilla-1988-1989,Cruz Azul,12,6,1,4,0,2,10,9
liguilla-1988-1989,Tampico Madero,10,6,0,3,1,2,9,9
liguilla-1988-1989,Pumas,8,6,5,2,2,2,12,7
liguilla-1988-1989,Atlante,3,6,-6,0,3,3,8,14
temporada-1988-1989,América,57,38,17,15,12,11,51,34
temporada-1988-1989,Cruz Azul,56,38,4,14,14,10,60,56
temporada-1988-1989,Toluca,41,38,-9,9,14,15,52,61
temporada-1988-1989,Monterrey,39,38,-12,6,21,11,36,48
temporada-1988-1989,Irapuato,39,38,-16,8,15,15,40,56
temporada-1988-1989,Puebla,69,38,36,18,15,5,66,30
temporada-1988-1989,Atlante,68,38,19,19,11,8,56,37
temporada-1988-1989,Leones Negros,57,38,-2,15,12,11,48,50
temporada-1988-1989,Tigres,41,38,-27,9,14,15,33,60
temporada-1988-1989,Santos,33,38,-27,5,18,15,21,48
temporada-1988-1989,Tampico Madero,69,38,34,20,9,9,85,51
temporada-1988-1989,Chivas,66,38,22,19,9,10,65,43
temporada-1988-1989,Necaxa,63,38,21,17,12,9,56,35
temporada-1988-1989,Morelia,50,38,4,11,17,10,57,53
temporada-1988-1989,Potosino,28,38,-33,5,13,20,27,60
temporada-1988-1989,Estudiantes,52,38,8,12,16,10,47,39
temporada-1988-1989,Pumas,50,38,8,11,17,10,36,28
temporada-1988-1989,Cobras,45,38,-9,8,21,9,36,45
temporada-1988-1989,Correcaminos,41,38,-13,9,14,15,44,57
temporada-1988-1989,Atlas,34,38,-25,8,10,20,41,66
temporada-1987-1988,Chivas,63,38,19,17,12,9,54,35
temporada-1987-1988,Pumas,60,38,27,15,15,8,82,55
temporada-1987-1988,Atlante,55,38,7,15,10,13,69,62
temporada-1987-1988,Tampico Madero,39,38,-12,7,18,13,50,62
temporada-1987-1988,Ángeles,39,38,-22,9,12,17,57,79
temporada-1987-1988,Leones Negros,70,38,28,20,10,8,77,49
temporada-1987-1988,Estudiantes,64,38,18,18,10,10,59,41
temporada-1987-1988,Cruz Azul,54,38,2,14,12,12,58,56
temporada-1987-1988,Atlas,44,38,-11,11,11,16,62,73
temporada-1987-1988,Potosino,36,38,-21,7,15,16,34,55
temporada-1987-1988,América,79,38,47,24,7,7,86,39
temporada-1987-1988,Puebla,51,38,7,13,12,13,58,51
temporada-1987-1988,Necaxa,49,38,-15,12,13,13,49,64
temporada-1987-1988,Toros Neza,47,38,-14,12,11,15,46,60
temporada-1987-1988,Irapuato,43,38,-27,12,7,19,40,67
temporada-1987-1988,Morelia,55,38,15,14,13,11,58,43
temporada-1987-1988,Toluca,55,38,-1,16,7,15,49,50
temporada-1987-1988,Tigres,44,38,-14,12,8,18,51,65
temporada-1987-1988,Monterrey,40,38,-10,9,13,16,55,65
temporada-1987-1988,Correcaminos,40,38,-23,10,10,18,39,62
temporada-1986-1987,Monterrey,51,40,-8,14,9,17,44,52
temporada-1986-1987,Toluca,47,40,0,7,26,7,35,35
temporada-1986-1987,Estudiantes,45,40,0,7,24,9,37,37
temporada-1986-1987,Necaxa,45,40,-8,7,24,9,28,36
temporada-1986-1987,Atlante,42,40,-5,8,18,14,29,34
temporada-1986-1987,Chivas,74,40,31,20,14,6,58,27
temporada-1986-1987,Tampico Madero,55,40,1,14,13,13,55,54
temporada-1986-1987,Toros Neza,52,40,-3,13,13,14,35,38
temporada-1986-1987,Tigres,50,40,3,8,26,6,40,37
temporada-1986-1987,León,42,40,-16,10,12,18,36,52
temporada-1986-1987,Morelia,65,40,7,17,14,9,47,40
temporada-1986-1987,Puebla,56,40,10,14,14,12,56,46
temporada-1986-1987,Pumas,50,40,1,11,17,12,33,32
temporada-1986-1987,Leones Negros,48,40,-1,10,18,12,43,44
temporada-1986-1987,Atlas,43,40,-9,9,16,15,35,44
temporada-1986-1987,América,66,40,24,16,18,6,55,31
temporada-1986-1987,Cruz Azul,65,40,13,15,20,5,44,31
temporada-1986-1987,Potosino,48,40,-10,9,21,10,29,39
temporada-1986-1987,Irapuato,45,40,-5,8,21,11,39,44
temporada-1986-1987,Ángeles,44,40,-6,9,17,14,35,41
temporada-1986-1987,Cobras,39,40,-19,6,21,13,22,41
temporada-1984-1985,América,64,38,14,17,13,8,50,36
temporada-1984-1985,León,52,38,8,11,19,8,53,45
temporada-1984-1985,Tigres,48,38,-5,13,9,16,40,45
temporada-1984-1985,Toros Neza,36,38,-14,8,12,18,42,56
temporada-1984-1985,Necaxa,30,38,-22,5,15,18,35,57
temporada-1984-1985,Pumas,76,38,32,23,7,8,68,36
temporada-1984-1985,Tampico Madero,60,38,8,17,9,12,64,56
temporada-1984-1985,Atlas,57,38,4,15,12,11,50,46
temporada-1984-1985,Oaxtepec,45,38,-11,11,12,15,50,61
temporada-1984-1985,Morelia,36,38,-18,6,18,14,37,55
temporada-1984-1985,Leones Negros,66,38,18,17,15,6,56,38
temporada-1984-1985,Cruz Azul,62,38,15,16,14,8,49,34
temporada-1984-1985,Atlante,61,38,9,16,13,9,49,40
temporada-1984-1985,Monterrey,44,38,-14,10,14,14,48,62
temporada-1984-1985,Potosino,38,38,-14,6,20,12,35,49
temporada-1984-1985,Chivas,62,38,20,16,14,8,48,28
temporada-1984-1985,Puebla,50,38,8,13,11,14,52,44
temporada-1984-1985,Estudiantes,46,38,0,11,13,14,48,48
temporada-1984-1985,Toluca,39,38,-15,8,15,15,31,46
temporada-1984-1985,Zacatepec,37,38,-23,10,7,21,30,53
temporada-1983-1984,América,65,38,20,16,17,5,46,26
temporada-1983-1984,Monterrey,50,38,6,12,14,12,51,45
temporada-1983-1984,Atlas,43,38,-17,9,16,13,51,68
temporada-1983-1984,Necaxa,42,38,-9,9,15,14,54,63
temporada-1983-1984,Potosino,37,38,-27,8,13,17,28,55
temporada-1983-1984,Atlante,63,38,18,16,15,7,56,38
temporada-1983-1984,Chivas,57,38,14,13,18,7,53,39
temporada-1983-1984,Toluca,50,38,-3,13,11,14,53,56
temporada-1983-1984,Toros Neza,38,38,-2,1,35,2,12,14
temporada-1983-1984,Curtidores,29,38,-23,6,11,21,33,56
temporada-1983-1984,Pumas,64,38,25,16,16,6,62,37
temporada-1983-1984,Estudiantes,59,38,16,14,17,7,53,37
temporada-1983-1984,Morelia,54,38,9,14,12,12,58,49
temporada-1983-1984,Tampico Madero,51,38,-3,12,15,11,53,56
temporada-1983-1984,Puebla,47,38,0,11,14,13,48,48
temporada-1983-1984,Tigres,53,38,-3,13,14,11,48,51
temporada-1983-1984,Cruz Azul,52,38,7,12,16,10,39,32
temporada-1983-1984,León,46,38,-1,11,13,14,48,49
temporada-1983-1984,Leones Negros,44,38,-8,9,17,12,42,50
temporada-1983-1984,Oaxtepec,39,38,-19,8,15,15,36,55
temporada-1982-1983,Potosino,47,38,-4,10,17,11,35,39
temporada-1982-1983,Atlas,45,38,-11,8,21,9,31,42
temporada-1982-1983,Atlante,42,38,5,3,33,2,16,11
temporada-1982-1983,Necaxa,40,38,-8,7,19,12,42,50
temporada-1982-1983,Monterrey,36,38,-17,6,18,14,24,41
temporada-1982-1983,América,71,38,30,18,17,3,54,24
temporada-1982-1983,Chivas,49,38,1,10,19,9,30,29
temporada-1982-1983,León,48,38,5,7,27,4,33,28
temporada-1982-1983,Tampico Madero,45,38,-11,10,15,13,38,49
temporada-1982-1983,Toros Neza,41,38,-5,7,20,11,32,37
temporada-1982-1983,Toluca,53,38,16,11,20,7,40,24
temporada-1982-1983,Estudiantes,53,38,4,12,17,9,40,36
temporada-1982-1983,Cruz Azul,45,38,2,9,18,11,35,33
temporada-1982-1983,Oaxtepec,42,38,-1,5,27,6,18,19
temporada-1982-1983,Zacatepec,38,38,0,0,38,0,2,2
temporada-1982-1983,Puebla,53,38,10,11,20,7,39,29
temporada-1982-1983,Pumas,52,38,12,12,16,10,47,35
temporada-1982-1983,Leones Negros,48,38,-4,9,21,8,32,36
temporada-1982-1983,Morelia,41,38,-9,6,23,9,15,24
temporada-1982-1983,Tigres,40,38,-15,8,16,14,31,46
temporada-1981-1982,América,56,38,18,13,17,8,44,26
temporada-1981-1982,Tigres,54,38,11,12,18,8,44,33
temporada-1981-1982,Puebla,54,38,3,13,15,10,52,49
temporada-1981-1982,Pumas,47,38,8,10,17,11,52,44
temporada-1981-1982,Atlas,37,38,-28,9,10,19,31,59
temporada-1981-1982,Cruz Azul,56,38,5,13,17,8,47,42
temporada-1981-1982,Toros Neza,54,38,9,11,21,6,46,37
temporada-1981-1982,Potosino,52,38,0,11,19,8,44,44
temporada-1981-1982,Leones Negros,47,38,7,8,23,7,31,24
temporada-1981-1982,León,33,38,-19,5,18,15,33,52
temporada-1981-1982,Zacatepec,57,38,12,13,18,7,38,26
temporada-1981-1982,Atlético Español,45,38,-5,10,15,13,43,48
temporada-1981-1982,Tampico Madero,43,38,3,5,28,5,26,23
temporada-1981-1982,Morelia,42,38,-1,4,30,4,9,10
temporada-1981-1982,Chivas,32,38,-17,4,20,14,28,45
temporada-1981-1982,Atlante,64,38,20,16,16,6,48,28
temporada-1981-1982,Campesinos,47,38,1,10,17,11,37,36
temporada-1981-1982,Monterrey,46,38,-9,8,22,8,32,41
temporada-1981-1982,Toluca,43,38,-8,8,19,11,41,49
temporada-1981-1982,Estudiantes,43,38,-10,9,16,13,39,49
liguilla-1980-1981,Cruz Azul,11,6,2,3,2,1,5,3
liguilla-1980-1981,Zacatepec,10,6,5,3,1,2,12,7
liguilla-1980-1981,Toluca,7,6,-2,2,1,3,5,7
liguilla-1980-1981,Estudiantes,5,6,-5,1,2,3,6,11
liguilla-1980-1981,Pumas,13,6,3,4,1,1,12,9
liguilla-1980-1981,Toros Neza,8,6,1,2,2,2,4,3
liguilla-1980-1981,Chivas,7,6,-2,2,1,3,7,9
liguilla-1980-1981,Atlético Español,5,6,-2,1,2,3,6,8
temporada-1980-1981,Atlético Español,60,38,3,15,15,8,39,36
temporada-1980-1981,Toluca,51,38,2,12,15,11,36,34
