,away_team,date,home_team,result,round,season,season_round,time,venue
0,Tigres,"vie 5 de enero, 2018",Puebla,VS,jornada-1,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
1,León,"vie 5 de enero, 2018",Atlas,VS,jornada-1,clausura-2018,regular,21:00  Hrs.,Jalisco
2,Club Tijuana,"sáb 6 de enero, 2018",Cruz Azul,VS,jornada-1,clausura-2018,regular,17:00  Hrs.,Azul
3,Morelia,"sáb 6 de enero, 2018",Monterrey,VS,jornada-1,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
4,Pumas,"sáb 6 de enero, 2018",Pachuca,VS,jornada-1,clausura-2018,regular,19:06  Hrs.,Hidalgo
5,Veracruz,"sáb 6 de enero, 2018",Necaxa,VS,jornada-1,clausura-2018,regular,21:00  Hrs.,Victoria
6,Chivas,"dom 7 de enero, 2018",Toluca,VS,jornada-1,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
7,Lobos BUAP,"dom 7 de enero, 2018",Santos,VS,jornada-1,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
8,América,"dom 7 de enero, 2018",Club Querétaro,VS,jornada-1,clausura-2018,regular,18:00  Hrs.,La Corregidora
9,Puebla,"vie 12 de enero, 2018",Morelia,VS,jornada-2,clausura-2018,regular,19:00  Hrs.,Morelos
10,Necaxa,"vie 12 de enero, 2018",Club Tijuana,VS,jornada-2,clausura-2018,regular,21:00  Hrs.,Caliente
11,Club Querétaro,"sáb 13 de enero, 2018",Lobos BUAP,VS,jornada-2,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP
12,Santos,"sáb 13 de enero, 2018",Tigres,VS,jornada-2,clausura-2018,regular,19:00  Hrs.,Universitario
13,Toluca,"sáb 13 de enero, 2018",León,VS,jornada-2,clausura-2018,regular,19:06  Hrs.,Estadio León
14,Pachuca,"sáb 13 de enero, 2018",América,VS,jornada-2,clausura-2018,regular,21:00  Hrs.,Azteca
15,Cruz Azul,"sáb 13 de enero, 2018",Chivas,VS,jornada-2,clausura-2018,regular,21:06  Hrs.,Chivas
16,Atlas,"dom 14 de enero, 2018",Pumas,VS,jornada-2,clausura-2018,regular,12:00  Hrs.,Olímpico de CU
17,Monterrey,"dom 14 de enero, 2018",Veracruz,VS,jornada-2,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente
18,Veracruz,"vie 19 de enero, 2018",Puebla,VS,jornada-3,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
19,Toluca,"vie 19 de enero, 2018",Atlas,VS,jornada-3,clausura-2018,regular,21:00  Hrs.,Jalisco
20,Tigres,"sáb 20 de enero, 2018",Club Querétaro,VS,jornada-3,clausura-2018,regular,17:00  Hrs.,La Corregidora
21,León,"sáb 20 de enero, 2018",Cruz Azul,VS,jornada-3,clausura-2018,regular,17:00  Hrs.,Azul
22,Club Tijuana,"sáb 20 de enero, 2018",Monterrey,VS,jornada-3,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
23,Lobos BUAP,"sáb 20 de enero, 2018",Pachuca,VS,jornada-3,clausura-2018,regular,19:06  Hrs.,Hidalgo
24,Chivas,"sáb 20 de enero, 2018",Necaxa,VS,jornada-3,clausura-2018,regular,21:00  Hrs.,Victoria
25,América,"dom 21 de enero, 2018",Pumas,VS,jornada-3,clausura-2018,regular,12:00  Hrs.,Olímpico de CU
26,Morelia,"dom 21 de enero, 2018",Santos,VS,jornada-3,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
27,Club Querétaro,"vie 26 de enero, 2018",Morelia,VS,jornada-4,clausura-2018,regular,19:00  Hrs.,Morelos
28,Puebla,"vie 26 de enero, 2018",Club Tijuana,VS,jornada-4,clausura-2018,regular,21:00  Hrs.,Caliente
29,Pumas,"sáb 27 de enero, 2018",Lobos BUAP,VS,jornada-4,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP
30,Pachuca,"sáb 27 de enero, 2018",Tigres,VS,jornada-4,clausura-2018,regular,19:00  Hrs.,Universitario
31,Necaxa,"sáb 27 de enero, 2018",León,VS,jornada-4,clausura-2018,regular,19:06  Hrs.,Estadio León
32,Atlas,"sáb 27 de enero, 2018",América,VS,jornada-4,clausura-2018,regular,21:00  Hrs.,Azteca
33,Monterrey,"sáb 27 de enero, 2018",Chivas,VS,jornada-4,clausura-2018,regular,21:00  Hrs.,Chivas
34,Cruz Azul,"dom 28 de enero, 2018",Toluca,VS,jornada-4,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
35,Santos,"dom 28 de enero, 2018",Veracruz,VS,jornada-4,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente
36,Chivas,"vie 2 de febrero, 2018",Puebla,VS,jornada-5,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
37,Cruz Azul,"vie 2 de febrero, 2018",Atlas,VS,jornada-5,clausura-2018,regular,21:00  Hrs.,Jalisco
38,Veracruz,"sáb 3 de febrero, 2018",Club Querétaro,VS,jornada-5,clausura-2018,regular,17:00  Hrs.,La Corregidora
39,León,"sáb 3 de febrero, 2018",Monterrey,VS,jornada-5,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
40,Morelia,"sáb 3 de febrero, 2018",Pachuca,VS,jornada-5,clausura-2018,regular,19:06  Hrs.,Hidalgo
41,Lobos BUAP,"sáb 3 de febrero, 2018",América,VS,jornada-5,clausura-2018,regular,21:00  Hrs.,Azteca
42,Toluca,"sáb 3 de febrero, 2018",Necaxa,VS,jornada-5,clausura-2018,regular,21:00  Hrs.,Victoria
43,Tigres,"dom 4 de febrero, 2018",Pumas,VS,jornada-5,clausura-2018,regular,12:00  Hrs.,Olímpico de CU
44,Club Tijuana,"dom 4 de febrero, 2018",Santos,VS,jornada-5,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
45,Pumas,"vie 9 de febrero, 2018",Morelia,VS,jornada-6,clausura-2018,regular,19:00  Hrs.,Morelos
46,Club Querétaro,"vie 9 de febrero, 2018",Club Tijuana,VS,jornada-6,clausura-2018,regular,21:00  Hrs.,Caliente
47,Necaxa,"sáb 10 de febrero, 2018",Cruz Azul,VS,jornada-6,clausura-2018,regular,17:00  Hrs.,Azul
48,Atlas,"sáb 10 de febrero, 2018",Lobos BUAP,VS,jornada-6,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP
49,América,"sáb 10 de febrero, 2018",Tigres,VS,jornada-6,clausura-2018,regular,19:00  Hrs.,Universitario
50,Puebla,"sáb 10 de febrero, 2018",León,VS,jornada-6,clausura-2018,regular,19:06  Hrs.,Estadio León
51,Santos,"sáb 10 de febrero, 2018",Chivas,VS,jornada-6,clausura-2018,regular,21:06  Hrs.,Chivas
52,Monterrey,"dom 11 de febrero, 2018",Toluca,VS,jornada-6,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
53,Pachuca,"dom 11 de febrero, 2018",Veracruz,VS,jornada-6,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente
54,Necaxa,"mar 13 de febrero, 2018",Atlas,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,Jalisco
55,Tigres,"mar 13 de febrero, 2018",Lobos BUAP,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,Estadio Universitario BUAP
56,León,"mar 13 de febrero, 2018",Santos,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,Estadio TSM Corona
57,Morelia,"mar 13 de febrero, 2018",América,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,Azteca
58,Chivas,"mié 14 de febrero, 2018",Club Querétaro,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,La Corregidora
59,Veracruz,"mié 14 de febrero, 2018",Pumas,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,Olímpico de CU
60,Club Tijuana,"mié 14 de febrero, 2018",Pachuca,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,Hidalgo
61,Cruz Azul,"mié 14 de febrero, 2018",Monterrey,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,BBVA Bancomer
62,Toluca,"mié 14 de febrero, 2018",Puebla,VS,jornada-7,clausura-2018,regular,00:00  Hrs.,Cuauhtémoc
63,Lobos BUAP,"vie 16 de febrero, 2018",Morelia,VS,jornada-8,clausura-2018,regular,19:00  Hrs.,Morelos
64,Puebla,"sáb 17 de febrero, 2018",Cruz Azul,VS,jornada-8,clausura-2018,regular,17:00  Hrs.,Azul
65,Atlas,"sáb 17 de febrero, 2018",Tigres,VS,jornada-8,clausura-2018,regular,19:00  Hrs.,Universitario
66,Club Querétaro,"sáb 17 de febrero, 2018",León,VS,jornada-8,clausura-2018,regular,19:06  Hrs.,Estadio León
67,Pumas,"sáb 17 de febrero, 2018",Club Tijuana,VS,jornada-8,clausura-2018,regular,21:00  Hrs.,Caliente
68,Monterrey,"sáb 17 de febrero, 2018",Necaxa,VS,jornada-8,clausura-2018,regular,21:00  Hrs.,Victoria
69,Pachuca,"sáb 17 de febrero, 2018",Chivas,VS,jornada-8,clausura-2018,regular,21:06  Hrs.,Chivas
70,Santos,"dom 18 de febrero, 2018",Toluca,VS,jornada-8,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
71,América,"dom 18 de febrero, 2018",Veracruz,VS,jornada-8,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente
72,Necaxa,"vie 23 de febrero, 2018",Puebla,VS,jornada-9,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
73,Monterrey,"vie 23 de febrero, 2018",Atlas,VS,jornada-9,clausura-2018,regular,21:00  Hrs.,Jalisco
74,Veracruz,"sáb 24 de febrero, 2018",Lobos BUAP,VS,jornada-9,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP
75,Toluca,"sáb 24 de febrero, 2018",Club Querétaro,VS,jornada-9,clausura-2018,regular,17:00  Hrs.,La Corregidora
76,Morelia,"sáb 24 de febrero, 2018",Tigres,VS,jornada-9,clausura-2018,regular,19:00  Hrs.,Universitario
77,León,"sáb 24 de febrero, 2018",Pachuca,VS,jornada-9,clausura-2018,regular,19:06  Hrs.,Hidalgo
78,Club Tijuana,"sáb 24 de febrero, 2018",América,VS,jornada-9,clausura-2018,regular,21:00  Hrs.,Azteca
79,Chivas,"dom 25 de febrero, 2018",Pumas,VS,jornada-9,clausura-2018,regular,12:00  Hrs.,Olímpico de CU
80,Cruz Azul,"dom 25 de febrero, 2018",Santos,VS,jornada-9,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
81,Atlas,"vie 2 de marzo, 2018",Morelia,VS,jornada-10,clausura-2018,regular,19:00  Hrs.,Morelos
82,Lobos BUAP,"vie 2 de marzo, 2018",Club Tijuana,VS,jornada-10,clausura-2018,regular,21:00  Hrs.,Caliente
83,Club Querétaro,"sáb 3 de marzo, 2018",Cruz Azul,VS,jornada-10,clausura-2018,regular,17:00  Hrs.,Azul
84,Puebla,"sáb 3 de marzo, 2018",Monterrey,VS,jornada-10,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
85,Pumas,"sáb 3 de marzo, 2018",León,VS,jornada-10,clausura-2018,regular,19:06  Hrs.,Estadio León
86,Santos,"sáb 3 de marzo, 2018",Necaxa,VS,jornada-10,clausura-2018,regular,21:00  Hrs.,Victoria
87,América,"sáb 3 de marzo, 2018",Chivas,VS,jornada-10,clausura-2018,regular,21:06  Hrs.,Chivas
88,Pachuca,"dom 4 de marzo, 2018",Toluca,VS,jornada-10,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
89,Tigres,"dom 4 de marzo, 2018",Veracruz,VS,jornada-10,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente
90,Veracruz,"vie 9 de marzo, 2018",Morelia,VS,jornada-11,clausura-2018,regular,19:00  Hrs.,Morelos
91,Puebla,"vie 9 de marzo, 2018",Atlas,VS,jornada-11,clausura-2018,regular,21:00  Hrs.,Jalisco
92,Necaxa,"sáb 10 de marzo, 2018",Club Querétaro,VS,jornada-11,clausura-2018,regular,17:00  Hrs.,La Corregidora
93,Chivas,"sáb 10 de marzo, 2018",Lobos BUAP,VS,jornada-11,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP
94,Pachuca,"sáb 10 de marzo, 2018",Cruz Azul,VS,jornada-11,clausura-2018,regular,17:00  Hrs.,Azul
95,Club Tijuana,"sáb 10 de marzo, 2018",Tigres,VS,jornada-11,clausura-2018,regular,19:00  Hrs.,Universitario
96,León,"sáb 10 de marzo, 2018",América,VS,jornada-11,clausura-2018,regular,21:00  Hrs.,Azteca
97,Toluca,"dom 11 de marzo, 2018",Pumas,VS,jornada-11,clausura-2018,regular,12:00  Hrs.,Olímpico de CU
98,Monterrey,"dom 11 de marzo, 2018",Santos,VS,jornada-11,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
99,Santos,"vie 16 de marzo, 2018",Puebla,VS,jornada-12,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
100,Morelia,"vie 16 de marzo, 2018",Club Tijuana,VS,jornada-12,clausura-2018,regular,21:00  Hrs.,Caliente
101,Pumas,"sáb 17 de marzo, 2018",Cruz Azul,VS,jornada-12,clausura-2018,regular,17:00  Hrs.,Azul
102,Club Querétaro,"sáb 17 de marzo, 2018",Monterrey,VS,jornada-12,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
103,Toluca,"sáb 17 de marzo, 2018",América,VS,jornada-12,clausura-2018,regular,21:00  Hrs.,Azteca
104,Pachuca,"sáb 17 de marzo, 2018",Necaxa,VS,jornada-12,clausura-2018,regular,21:00  Hrs.,Victoria
105,Tigres,"sáb 17 de marzo, 2018",Chivas,VS,jornada-12,clausura-2018,regular,21:06  Hrs.,Chivas
106,Atlas,"dom 18 de marzo, 2018",Veracruz,VS,jornada-12,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente
107,Lobos BUAP,"dom 18 de marzo, 2018",León,VS,jornada-12,clausura-2018,regular,19:06  Hrs.,Estadio León
108,Chivas,"vie 30 de marzo, 2018",Morelia,VS,jornada-13,clausura-2018,regular,19:00  Hrs.,Morelos
109,Santos,"vie 30 de marzo, 2018",Atlas,VS,jornada-13,clausura-2018,regular,21:00  Hrs.,Jalisco
110,Toluca,"sáb 31 de marzo, 2018",Lobos BUAP,VS,jornada-13,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP
111,Puebla,"sáb 31 de marzo, 2018",Club Querétaro,VS,jornada-13,clausura-2018,regular,17:00  Hrs.,La Corregidora
112,León,"sáb 31 de marzo, 2018",Tigres,VS,jornada-13,clausura-2018,regular,19:00  Hrs.,Universitario
113,Monterrey,"sáb 31 de marzo, 2018",Pachuca,VS,jornada-13,clausura-2018,regular,19:06  Hrs.,Hidalgo
114,Cruz Azul,"sáb 31 de marzo, 2018",América,VS,jornada-13,clausura-2018,regular,21:00  Hrs.,Azteca
115,Necaxa,"dom 1 de abril, 2018",Pumas,VS,jornada-13,clausura-2018,regular,12:00  Hrs.,Olímpico de CU
116,Club Tijuana,"dom 1 de abril, 2018",Veracruz,VS,jornada-13,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente
117,Pachuca,"vie 6 de abril, 2018",Puebla,VS,jornada-14,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
118,Atlas,"vie 6 de abril, 2018",Club Tijuana,VS,jornada-14,clausura-2018,regular,21:00  Hrs.,Caliente
119,Lobos BUAP,"sáb 7 de abril, 2018",Cruz Azul,VS,jornada-14,clausura-2018,regular,17:00  Hrs.,Azul
120,Pumas,"sáb 7 de abril, 2018",Monterrey,VS,jornada-14,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
121,Morelia,"sáb 7 de abril, 2018",León,VS,jornada-14,clausura-2018,regular,19:06  Hrs.,Estadio León
122,América,"sáb 7 de abril, 2018",Necaxa,VS,jornada-14,clausura-2018,regular,21:00  Hrs.,Victoria
123,Veracruz,"sáb 7 de abril, 2018",Chivas,VS,jornada-14,clausura-2018,regular,21:06  Hrs.,Chivas
124,Tigres,"dom 8 de abril, 2018",Toluca,VS,jornada-14,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
125,Club Querétaro,"dom 8 de abril, 2018",Santos,VS,jornada-14,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
126,Toluca,"vie 13 de abril, 2018",Morelia,VS,jornada-15,clausura-2018,regular,19:00  Hrs.,Morelos
127,Club Querétaro,"vie 13 de abril, 2018",Atlas,VS,jornada-15,clausura-2018,regular,21:00  Hrs.,Jalisco
128,Chivas,"vie 13 de abril, 2018",Club Tijuana,VS,jornada-15,clausura-2018,regular,21:00  Hrs.,Caliente
129,Necaxa,"sáb 14 de abril, 2018",Lobos BUAP,VS,jornada-15,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP
130,Cruz Azul,"sáb 14 de abril, 2018",Tigres,VS,jornada-15,clausura-2018,regular,19:00  Hrs.,Universitario
131,Santos,"sáb 14 de abril, 2018",Pachuca,VS,jornada-15,clausura-2018,regular,19:06  Hrs.,Hidalgo
132,Monterrey,"sáb 14 de abril, 2018",América,VS,jornada-15,clausura-2018,regular,21:00  Hrs.,Azteca
133,Puebla,"dom 15 de abril, 2018",Pumas,VS,jornada-15,clausura-2018,regular,12:00  Hrs.,Olímpico de CU
134,León,"dom 15 de abril, 2018",Veracruz,VS,jornada-15,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente
135,América,"vie 20 de abril, 2018",Puebla,VS,jornada-16,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
136,Chivas,"vie 20 de abril, 2018",Atlas,VS,jornada-16,clausura-2018,regular,21:00  Hrs.,Jalisco
137,Morelia,"sáb 21 de abril, 2018",Cruz Azul,VS,jornada-16,clausura-2018,regular,17:00  Hrs.,Azul
138,Pachuca,"sáb 21 de abril, 2018",Club Querétaro,VS,jornada-16,clausura-2018,regular,17:00  Hrs.,La Corregidora
139,Lobos BUAP,"sáb 21 de abril, 2018",Monterrey,VS,jornada-16,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
140,Club Tijuana,"sáb 21 de abril, 2018",León,VS,jornada-16,clausura-2018,regular,19:06  Hrs.,Estadio León
141,Tigres,"sáb 21 de abril, 2018",Necaxa,VS,jornada-16,clausura-2018,regular,21:00  Hrs.,Victoria
142,Veracruz,"dom 22 de abril, 2018",Toluca,VS,jornada-16,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
143,Pumas,"dom 22 de abril, 2018",Santos,VS,jornada-16,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
144,Necaxa,"vie 27 de abril, 2018",Morelia,VS,jornada-17,clausura-2018,regular,19:00  Hrs.,Morelos
145,Toluca,"vie 27 de abril, 2018",Club Tijuana,VS,jornada-17,clausura-2018,regular,21:00  Hrs.,Caliente
146,Puebla,"sáb 28 de abril, 2018",Lobos BUAP,VS,jornada-17,clausura-2018,regular,17:00  Hrs.,Estadio Universitario BUAP
147,Monterrey,"sáb 28 de abril, 2018",Tigres,VS,jornada-17,clausura-2018,regular,19:00  Hrs.,Universitario
148,Atlas,"sáb 28 de abril, 2018",Pachuca,VS,jornada-17,clausura-2018,regular,19:06  Hrs.,Hidalgo
149,Santos,"sáb 28 de abril, 2018",América,VS,jornada-17,clausura-2018,regular,21:00  Hrs.,Azteca
150,León,"sáb 28 de abril, 2018",Chivas,VS,jornada-17,clausura-2018,regular,21:06  Hrs.,Chivas
151,Club Querétaro,"dom 29 de abril, 2018",Pumas,VS,jornada-17,clausura-2018,regular,12:00  Hrs.,Olímpico de CU
152,Cruz Azul,"dom 29 de abril, 2018",Veracruz,VS,jornada-17,clausura-2018,regular,18:00  Hrs.,Luis Pirata Fuente
153,Tigres,"vie 5 de enero, 2018",Puebla,VS,jornada-18,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
154,León,"vie 5 de enero, 2018",Atlas,VS,jornada-18,clausura-2018,regular,21:00  Hrs.,Jalisco
155,Club Tijuana,"sáb 6 de enero, 2018",Cruz Azul,VS,jornada-18,clausura-2018,regular,17:00  Hrs.,Azul
156,Morelia,"sáb 6 de enero, 2018",Monterrey,VS,jornada-18,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
157,Pumas,"sáb 6 de enero, 2018",Pachuca,VS,jornada-18,clausura-2018,regular,19:06  Hrs.,Hidalgo
158,Veracruz,"sáb 6 de enero, 2018",Necaxa,VS,jornada-18,clausura-2018,regular,21:00  Hrs.,Victoria
159,Chivas,"dom 7 de enero, 2018",Toluca,VS,jornada-18,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
160,Lobos BUAP,"dom 7 de enero, 2018",Santos,VS,jornada-18,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
161,América,"dom 7 de enero, 2018",Club Querétaro,VS,jornada-18,clausura-2018,regular,18:00  Hrs.,La Corregidora
162,Tigres,"vie 5 de enero, 2018",Puebla,VS,jornada-19,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
163,León,"vie 5 de enero, 2018",Atlas,VS,jornada-19,clausura-2018,regular,21:00  Hrs.,Jalisco
164,Club Tijuana,"sáb 6 de enero, 2018",Cruz Azul,VS,jornada-19,clausura-2018,regular,17:00  Hrs.,Azul
165,Morelia,"sáb 6 de enero, 2018",Monterrey,VS,jornada-19,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
166,Pumas,"sáb 6 de enero, 2018",Pachuca,VS,jornada-19,clausura-2018,regular,19:06  Hrs.,Hidalgo
167,Veracruz,"sáb 6 de enero, 2018",Necaxa,VS,jornada-19,clausura-2018,regular,21:00  Hrs.,Victoria
168,Chivas,"dom 7 de enero, 2018",Toluca,VS,jornada-19,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
169,Lobos BUAP,"dom 7 de enero, 2018",Santos,VS,jornada-19,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
170,América,"dom 7 de enero, 2018",Club Querétaro,VS,jornada-19,clausura-2018,regular,18:00  Hrs.,La Corregidora
171,Tigres,"vie 5 de enero, 2018",Puebla,VS,jornada-20,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
172,León,"vie 5 de enero, 2018",Atlas,VS,jornada-20,clausura-2018,regular,21:00  Hrs.,Jalisco
173,Club Tijuana,"sáb 6 de enero, 2018",Cruz Azul,VS,jornada-20,clausura-2018,regular,17:00  Hrs.,Azul
174,Morelia,"sáb 6 de enero, 2018",Monterrey,VS,jornada-20,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
175,Pumas,"sáb 6 de enero, 2018",Pachuca,VS,jornada-20,clausura-2018,regular,19:06  Hrs.,Hidalgo
176,Veracruz,"sáb 6 de enero, 2018",Necaxa,VS,jornada-20,clausura-2018,regular,21:00  Hrs.,Victoria
177,Chivas,"dom 7 de enero, 2018",Toluca,VS,jornada-20,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
178,Lobos BUAP,"dom 7 de enero, 2018",Santos,VS,jornada-20,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
179,América,"dom 7 de enero, 2018",Club Querétaro,VS,jornada-20,clausura-2018,regular,18:00  Hrs.,La Corregidora
180,Tigres,"vie 5 de enero, 2018",Puebla,VS,jornada-21,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
181,León,"vie 5 de enero, 2018",Atlas,VS,jornada-21,clausura-2018,regular,21:00  Hrs.,Jalisco
182,Club Tijuana,"sáb 6 de enero, 2018",Cruz Azul,VS,jornada-21,clausura-2018,regular,17:00  Hrs.,Azul
183,Morelia,"sáb 6 de enero, 2018",Monterrey,VS,jornada-21,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
184,Pumas,"sáb 6 de enero, 2018",Pachuca,VS,jornada-21,clausura-2018,regular,19:06  Hrs.,Hidalgo
185,Veracruz,"sáb 6 de enero, 2018",Necaxa,VS,jornada-21,clausura-2018,regular,21:00  Hrs.,Victoria
186,Chivas,"dom 7 de enero, 2018",Toluca,VS,jornada-21,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
187,Lobos BUAP,"dom 7 de enero, 2018",Santos,VS,jornada-21,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
188,América,"dom 7 de enero, 2018",Club Querétaro,VS,jornada-21,clausura-2018,regular,18:00  Hrs.,La Corregidora
189,Tigres,"vie 5 de enero, 2018",Puebla,VS,jornada-22,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
190,León,"vie 5 de enero, 2018",Atlas,VS,jornada-22,clausura-2018,regular,21:00  Hrs.,Jalisco
191,Club Tijuana,"sáb 6 de enero, 2018",Cruz Azul,VS,jornada-22,clausura-2018,regular,17:00  Hrs.,Azul
192,Morelia,"sáb 6 de enero, 2018",Monterrey,VS,jornada-22,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
193,Pumas,"sáb 6 de enero, 2018",Pachuca,VS,jornada-22,clausura-2018,regular,19:06  Hrs.,Hidalgo
194,Veracruz,"sáb 6 de enero, 2018",Necaxa,VS,jornada-22,clausura-2018,regular,21:00  Hrs.,Victoria
195,Chivas,"dom 7 de enero, 2018",Toluca,VS,jornada-22,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
196,Lobos BUAP,"dom 7 de enero, 2018",Santos,VS,jornada-22,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
197,América,"dom 7 de enero, 2018",Club Querétaro,VS,jornada-22,clausura-2018,regular,18:00  Hrs.,La Corregidora
198,Tigres,"vie 5 de enero, 2018",Puebla,VS,jornada-23,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
199,León,"vie 5 de enero, 2018",Atlas,VS,jornada-23,clausura-2018,regular,21:00  Hrs.,Jalisco
200,Club Tijuana,"sáb 6 de enero, 2018",Cruz Azul,VS,jornada-23,clausura-2018,regular,17:00  Hrs.,Azul
201,Morelia,"sáb 6 de enero, 2018",Monterrey,VS,jornada-23,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
202,Pumas,"sáb 6 de enero, 2018",Pachuca,VS,jornada-23,clausura-2018,regular,19:06  Hrs.,Hidalgo
203,Veracruz,"sáb 6 de enero, 2018",Necaxa,VS,jornada-23,clausura-2018,regular,21:00  Hrs.,Victoria
204,Chivas,"dom 7 de enero, 2018",Toluca,VS,jornada-23,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
205,Lobos BUAP,"dom 7 de enero, 2018",Santos,VS,jornada-23,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
206,América,"dom 7 de enero, 2018",Club Querétaro,VS,jornada-23,clausura-2018,regular,18:00  Hrs.,La Corregidora
207,Tigres,"vie 5 de enero, 2018",Puebla,VS,jornada-24,clausura-2018,regular,19:00  Hrs.,Cuauhtémoc
208,León,"vie 5 de enero, 2018",Atlas,VS,jornada-24,clausura-2018,regular,21:00  Hrs.,Jalisco
209,Club Tijuana,"sáb 6 de enero, 2018",Cruz Azul,VS,jornada-24,clausura-2018,regular,17:00  Hrs.,Azul
210,Morelia,"sáb 6 de enero, 2018",Monterrey,VS,jornada-24,clausura-2018,regular,19:00  Hrs.,BBVA Bancomer
211,Pumas,"sáb 6 de enero, 2018",Pachuca,VS,jornada-24,clausura-2018,regular,19:06  Hrs.,Hidalgo
212,Veracruz,"sáb 6 de enero, 2018",Necaxa,VS,jornada-24,clausura-2018,regular,21:00  Hrs.,Victoria
213,Chivas,"dom 7 de enero, 2018",Toluca,VS,jornada-24,clausura-2018,regular,12:00  Hrs.,Nemesio Díez Riega
214,Lobos BUAP,"dom 7 de enero, 2018",Santos,VS,jornada-24,clausura-2018,regular,18:00  Hrs.,Estadio TSM Corona
215,América,"dom 7 de enero, 2018",Club Querétaro,VS,jornada-24,clausura-2018,regular,18:00  Hrs.,La Corregidora
