,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Toluca,,39,,,,,,
1,Necaxa,,34,,,,,,
2,Cruz Azul,,32,,,,,,
3,Atlas,,29,,,,,,
4,América,,27,,,,,,
5,Morelia,,26,,,,,,
6,Santos,,24,,,,,,
7,Estudiantes,,23,,,,,,
8,Puebla,,23,,,,,,
9,Pumas,,23,,,,,,
10,Toros Neza,,21,,,,,,
11,León,,20,,,,,,
12,Veracruz,,20,,,,,,
13,Monterrey,,20,,,,,,
14,Chivas,,19,,,,,,
15,Atlante,,19,,,,,,
16,Tigres,,15,,,,,,
17,Celaya,,13,,,,,,
