,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Santos,,42,,,,,,
1,Toluca,,35,,,,,,
2,La Piedad,,35,,,,,,
3,Morelia,,34,,,,,,
4,Necaxa,,34,,,,,,
5,Cruz Azul,,32,,,,,,
6,Pumas,,30,,,,,,
7,Atlas,,30,,,,,,
8,América,,27,,,,,,
9,Pachuca,,26,,,,,,
10,Estudiantes,,25,,,,,,
11,Tigres,,25,,,,,,
12,Puebla,,24,,,,,,
13,Atlante,,23,,,,,,
14,Veracruz,,22,,,,,,
15,Chivas,,22,,,,,,
16,Monterrey,,21,,,,,,
17,Celaya,,19,,,,,,
18,León,,17,,,,,,
