,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Necaxa,,67,,,,,,
1,Atlante,,65,,,,,,
2,Cruz Azul,,59,,,,,,
3,Pumas,,53,,,,,,
4,Veracruz,,52,,,,,,
5,Tigres,,52,,,,,,
6,Toluca,,47,,,,,,
7,Correcaminos,,46,,,,,,
8,América,,46,,,,,,
9,León,,45,,,,,,
10,Puebla,,44,,,,,,
11,Santos,,42,,,,,,
12,Morelia,,42,,,,,,
13,Leones Negros,,42,,,,,,
14,Chivas,,41,,,,,,
15,Monterrey,,40,,,,,,
16,Gallos Blancos,,36,,,,,,
17,Atlas,,36,,,,,,
18,Estudiantes,,34,,,,,,
19,Cobras,,33,,,,,,
