,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Chivas,,63,,,,,,
1,Puebla,,61,,,,,,
2,Tampico Madero,,60,,,,,,
3,América,,60,,,,,,
4,Tigres,,58,,,,,,
5,Cruz Azul,,53,,,,,,
6,Estudiantes,,53,,,,,,
7,Morelia,,51,,,,,,
8,Monterrey,,48,,,,,,
9,Irapuato,,45,,,,,,
10,Leones Negros,,44,,,,,,
11,Atlas,,43,,,,,,
12,León,,40,,,,,,
13,Toros Neza,,38,,,,,,
14,Ángeles,,37,,,,,,
15,Cobras,,36,,,,,,
16,Atlante,,36,,,,,,
17,Toluca,,35,,,,,,
18,Potosino,,35,,,,,,
19,Pumas,,34,,,,,,
20,Necaxa,,32,,,,,,
