,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Toros Neza,,40,,,,,,
1,Necaxa,,33,,,,,,
2,Santos,,27,,,,,,
3,América,,27,,,,,,
4,Chivas,,27,,,,,,
5,Estudiantes,,26,,,,,,
6,Morelia,,26,,,,,,
7,Toluca,,26,,,,,,
8,Monterrey,,25,,,,,,
9,Pumas,,25,,,,,,
10,Pachuca,,24,,,,,,
11,Atlas,,23,,,,,,
12,Atlante,,23,,,,,,
13,León,,21,,,,,,
14,Cruz Azul,,21,,,,,,
15,Celaya,,20,,,,,,
16,Veracruz,,17,,,,,,
17,Puebla,,15,,,,,,
