,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,León,,30,,,,,,
1,Cruz Azul,,29,,,,,,
2,Toros Neza,,29,,,,,,
3,Chivas,,28,,,,,,
4,Atlas,,28,,,,,,
5,América,,27,,,,,,
6,Pumas,,26,,,,,,
7,Atlante,,26,,,,,,
8,Necaxa,,26,,,,,,
9,Morelia,,25,,,,,,
10,Santos,,22,,,,,,
11,Monterrey,,22,,,,,,
12,Toluca,,21,,,,,,
13,Celaya,,21,,,,,,
14,Tigres,,20,,,,,,
15,Puebla,,20,,,,,,
16,Estudiantes,,19,,,,,,
17,Veracruz,,19,,,,,,
