,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Santos,,39,,,,,,
1,Atlante,,32,,,,,,
2,Pumas,,32,,,,,,
3,Chiapas FC,,31,,,,,,
4,Chivas,,28,,,,,,
5,Cruz Azul,,27,,,,,,
6,Toluca,,27,,,,,,
7,Pachuca,,26,,,,,,
8,América,,26,,,,,,
9,Estudiantes,,24,,,,,,
10,Atlas,,23,,,,,,
11,Club Querétaro,,23,,,,,,
12,Necaxa,,23,,,,,,
13,Veracruz,,20,,,,,,
14,Morelia,,20,,,,,,
15,Monterrey,,18,,,,,,
16,Tigres,,16,,,,,,
17,Puebla,,16,,,,,,
