,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Atlas,,35,,,,,,
1,Cruz Azul,,34,,,,,,
2,Estudiantes,,33,,,,,,
3,Santos,,32,,,,,,
4,Toluca,,32,,,,,,
5,Necaxa,,29,,,,,,
6,Morelia,,29,,,,,,
7,Irapuato,,28,,,,,,
8,León,,27,,,,,,
9,América,,26,,,,,,
10,Pumas,,24,,,,,,
11,Atlante,,24,,,,,,
12,Pachuca,,24,,,,,,
13,Tigres,,23,,,,,,
14,Monterrey,,23,,,,,,
15,Celaya,,21,,,,,,
16,Puebla,,18,,,,,,
17,Chivas,,18,,,,,,
