,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Pachuca,,36,,,,,,
1,Estudiantes,,30,,,,,,
2,Chivas,,27,,,,,,
3,América,,26,,,,,,
4,Morelia,,23,,,,,,
5,Cruz Azul,,22,,,,,,
6,Santos,,21,,,,,,
7,Chiapas FC,,21,,,,,,
8,Atlante,,21,,,,,,
9,Atlas,,20,,,,,,
10,Pumas,,19,,,,,,
11,Necaxa,,19,,,,,,
12,Monterrey,,17,,,,,,
13,Tigres,,17,,,,,,
14,Club Querétaro,,16,,,,,,
15,Gallos Blancos,,15,,,,,,
16,Toluca,,15,,,,,,
17,Veracruz,,11,,,,,,
