,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Cruz Azul,,91,,,,,,
1,América,,88,,,,,,
2,Chivas,,70,,,,,,
3,Necaxa,,68,,,,,,
4,Santos,,58,,,,,,
5,Atlante,,57,,,,,,
6,Toros Neza,,55,,,,,,
7,Morelia,,55,,,,,,
8,Estudiantes,,50,,,,,,
9,Pumas,,49,,,,,,
10,Puebla,,45,,,,,,
11,Atlas,,43,,,,,,
12,Toluca,,43,,,,,,
13,Veracruz,,43,,,,,,
14,Correcaminos,,42,,,,,,
15,Tampico Madero,,41,,,,,,
16,León,,39,,,,,,
17,Monterrey,,37,,,,,,
18,Tigres,,33,,,,,,
