,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Atlante,,12,,,,,,
1,Tigres,,9,,,,,,
2,Cruz Azul,,8,,,,,,
3,América,,6,,,,,,
4,Tampico Madero,,6,,,,,,
5,Toros Neza,,5,,,,,,
6,Zacatepec,,5,,,,,,
7,Pumas,,3,,,,,,
