,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Toluca,,9,,,,,,
1,Pumas,,9,,,,,,
2,Monterrey,,8,,,,,,
3,Cruz Azul,,8,,,,,,
4,Tigres,,7,,,,,,
5,América,,7,,,,,,
6,Zacatepec,,6,,,,,,
7,Potosino,,5,,,,,,
