,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Santos,,33,,,,,,
1,Cruz Azul,,28,,,,,,
2,Pumas,,26,,,,,,
3,Toluca,,25,,,,,,
4,León,,23,,,,,,
5,Chiapas FC,,23,,,,,,
6,Pachuca,,23,,,,,,
7,Club Tijuana,,22,,,,,,
8,Atlante,,22,,,,,,
9,Morelia,,21,,,,,,
10,América,,21,,,,,,
11,Monterrey,,20,,,,,,
12,Club Querétaro,,18,,,,,,
13,Atlas,,17,,,,,,
14,Puebla,,14,,,,,,
15,Veracruz,,14,,,,,,
16,Tigres,,13,,,,,,
17,Chivas,,13,,,,,,
