,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,América,,14,,,,,,
1,Potosino,,9,,,,,,
2,Pumas,,8,,,,,,
3,Leones Negros,,8,,,,,,
4,Chiapas FC,,7,,,,,,
5,Cruz Azul,,6,,,,,,
6,Atlético Español,,3,,,,,,
7,Chivas,,2,,,,,,
