,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Pumas,,65,,,,,,
1,Tampico Madero,,64,,,,,,
2,Morelia,,63,,,,,,
3,Toros Neza,,61,,,,,,
4,Atlante,,61,,,,,,
5,Necaxa,,60,,,,,,
6,Estudiantes,,59,,,,,,
7,Toluca,,56,,,,,,
8,Tigres,,55,,,,,,
9,Chivas,,55,,,,,,
10,América,,54,,,,,,
11,Monterrey,,53,,,,,,
12,Atlas,,53,,,,,,
13,Puebla,,52,,,,,,
14,León,,51,,,,,,
15,Leones Negros,,47,,,,,,
16,Cruz Azul,,47,,,,,,
17,Oaxtepec,,43,,,,,,
18,Curtidores,,35,,,,,,
19,Potosino,,29,,,,,,
