,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Toluca,,40,,,,,,
1,Atlante,,39,,,,,,
2,Morelia,,34,,,,,,
3,Chivas,,32,,,,,,
4,Monterrey,,31,,,,,,
5,Santos,,30,,,,,,
6,Atlas,,29,,,,,,
7,América,,29,,,,,,
8,Pumas,,25,,,,,,
9,Necaxa,,25,,,,,,
10,Tigres,,25,,,,,,
11,Chiapas FC,,25,,,,,,
12,Cuernavaca,,24,,,,,,
13,Cruz Azul,,24,,,,,,
14,Veracruz,,23,,,,,,
15,Pachuca,,21,,,,,,
16,Estudiantes,,15,,,,,,
17,Club Querétaro,,15,,,,,,
18,Puebla,,15,,,,,,
19,Gallos Blancos,,13,,,,,,
