,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Santos,,36,,,,,,
1,Cruz Azul,,33,,,,,,
2,Toluca,,33,,,,,,
3,Pachuca,,29,,,,,,
4,La Piedad,,28,,,,,,
5,Celaya,,27,,,,,,
6,Irapuato,,27,,,,,,
7,Tigres,,26,,,,,,
8,Atlas,,25,,,,,,
9,León,,25,,,,,,
10,Morelia,,24,,,,,,
11,Atlante,,24,,,,,,
12,Monterrey,,23,,,,,,
13,Puebla,,22,,,,,,
14,Necaxa,,21,,,,,,
15,Pumas,,21,,,,,,
16,Estudiantes,,21,,,,,,
17,América,,21,,,,,,
18,Chivas,,20,,,,,,
