,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Santos,,41,,,,,,
1,Tigres,,38,,,,,,
2,América,,34,,,,,,
3,Pumas,,34,,,,,,
4,Veracruz,,34,,,,,,
5,Toluca,,33,,,,,,
6,Atlante,,32,,,,,,
7,Estudiantes,,31,,,,,,
8,Chivas,,30,,,,,,
9,Cruz Azul,,30,,,,,,
10,Monterrey,,29,,,,,,
11,Atlas,,29,,,,,,
12,Pachuca,,28,,,,,,
13,Morelia,,25,,,,,,
14,Puebla,,23,,,,,,
15,Necaxa,,23,,,,,,
16,Irapuato,,23,,,,,,
17,Club Querétaro,,21,,,,,,
18,Chiapas FC,,20,,,,,,
19,Gallos Blancos,,16,,,,,,
