,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Pumas,,12,,,,,,
1,Zacatepec,,12,,,,,,
2,Chivas,,7,,,,,,
3,Estudiantes,,6,,,,,,
4,Atlético Español,,6,,,,,,
5,Toluca,,5,,,,,,
6,Cruz Azul,,5,,,,,,
7,Toros Neza,,4,,,,,,
