,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Necaxa,,76,,,,,,
1,Pumas,,69,,,,,,
2,Cruz Azul,,69,,,,,,
3,Atlante,,66,,,,,,
4,León,,64,,,,,,
5,Puebla,,58,,,,,,
6,Tigres,,56,,,,,,
7,Veracruz,,56,,,,,,
8,Monterrey,,51,,,,,,
9,América,,51,,,,,,
10,Toluca,,49,,,,,,
11,Atlas,,48,,,,,,
12,Morelia,,43,,,,,,
13,Chivas,,43,,,,,,
14,Estudiantes,,42,,,,,,
15,Pachuca,,39,,,,,,
16,Leones Negros,,35,,,,,,
17,Santos,,34,,,,,,
18,Gallos Blancos,,30,,,,,,
19,Correcaminos,,27,,,,,,
