,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Pumas,,12,,,,,,
1,América,,12,,,,,,
2,Cruz Azul,,10,,,,,,
3,Tampico Madero,,9,,,,,,
4,Chivas,,9,,,,,,
5,Atlante,,8,,,,,,
6,Puebla,,5,,,,,,
7,Estudiantes,,3,,,,,,
