,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Toluca,,44,,,,,,
1,Cruz Azul,,38,,,,,,
2,América,,36,,,,,,
3,Atlas,,32,,,,,,
4,Santos,,31,,,,,,
5,Puebla,,30,,,,,,
6,Pumas,,29,,,,,,
7,Morelia,,28,,,,,,
8,Necaxa,,27,,,,,,
9,Toros Neza,,25,,,,,,
10,Tigres,,25,,,,,,
11,Chivas,,25,,,,,,
12,Celaya,,23,,,,,,
13,León,,23,,,,,,
14,Estudiantes,,22,,,,,,
15,Monterrey,,20,,,,,,
16,Pachuca,,18,,,,,,
17,Atlante,,16,,,,,,
