,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Monterrey,,30,,,,,,
1,América,,29,,,,,,
2,Puebla,,28,,,,,,
3,Chivas,,28,,,,,,
4,Toluca,,27,,,,,,
5,Santos,,27,,,,,,
6,Pachuca,,27,,,,,,
7,Estudiantes,,26,,,,,,
8,Atlas,,26,,,,,,
9,Morelia,,22,,,,,,
10,Club Querétaro,,22,,,,,,
11,Atlante,,21,,,,,,
12,Cruz Azul,,20,,,,,,
13,Pumas,,20,,,,,,
14,Tigres,,19,,,,,,
15,Chiapas FC,,18,,,,,,
16,Gallos Blancos,,13,,,,,,
17,Indios,,10,,,,,,
