,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Pumas,,67,,,,,,
1,Jalisco,,64,,,,,,
2,América,,56,,,,,,
3,Atlas,,53,,,,,,
4,Potosino,,53,,,,,,
5,Cruz Azul,,51,,,,,,
6,Monterrey,,51,,,,,,
7,Leones Negros,,50,,,,,,
8,León,,50,,,,,,
9,Curtidores,,49,,,,,,
10,Puebla,,49,,,,,,
11,Atlético Español,,49,,,,,,
12,Santos,,46,,,,,,
13,Veracruz,,45,,,,,,
14,Chiapas FC,,45,,,,,,
15,Chivas,,44,,,,,,
16,Toluca,,42,,,,,,
17,Estudiantes,,41,,,,,,
18,Tigres,,39,,,,,,
19,Zacatepec,,27,,,,,,
