,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Pumas,,79,,,,,,
1,Estudiantes,,70,,,,,,
2,Zacatepec,,67,,,,,,
3,Atlante,,58,,,,,,
4,Tampico Madero,,56,,,,,,
5,Puebla,,56,,,,,,
6,Chivas,,53,,,,,,
7,América,,53,,,,,,
8,Tigres,,52,,,,,,
9,Monterrey,,50,,,,,,
10,Potosino,,48,,,,,,
11,Toluca,,47,,,,,,
12,Cruz Azul,,45,,,,,,
13,Leones Negros,,44,,,,,,
14,Atlético Español,,43,,,,,,
15,Toros Neza,,42,,,,,,
16,Campesinos,,42,,,,,,
17,León,,32,,,,,,
18,Atlas,,29,,,,,,
19,Curtidores,,28,,,,,,
