,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Cruz Azul,,41,,,,,,
1,Toluca,,39,,,,,,
2,Necaxa,,36,,,,,,
3,Chivas,,34,,,,,,
4,Atlas,,34,,,,,,
5,Estudiantes,,31,,,,,,
6,Tigres,,31,,,,,,
7,América,,30,,,,,,
8,Celaya,,28,,,,,,
9,Pachuca,,28,,,,,,
10,Morelia,,28,,,,,,
11,Pumas,,26,,,,,,
12,León,,25,,,,,,
13,Santos,,22,,,,,,
14,Atlante,,22,,,,,,
15,Monterrey,,20,,,,,,
16,Toros Neza,,18,,,,,,
17,Puebla,,13,,,,,,
