,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Toluca,,50,,,,,,
1,Tigres,,34,,,,,,
2,Atlas,,34,,,,,,
3,Santos,,33,,,,,,
4,Atlante,,31,,,,,,
5,Necaxa,,30,,,,,,
6,América,,30,,,,,,
7,Cruz Azul,,30,,,,,,
8,Celaya,,29,,,,,,
9,Monterrey,,25,,,,,,
10,Chivas,,24,,,,,,
11,Pachuca,,23,,,,,,
12,Morelia,,23,,,,,,
13,Estudiantes,,21,,,,,,
14,Toros Neza,,21,,,,,,
15,León,,19,,,,,,
16,Pumas,,19,,,,,,
17,Puebla,,15,,,,,,
