,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Pumas,,42,,,,,,
1,Tigres,,37,,,,,,
2,Cruz Azul,,36,,,,,,
3,Club Querétaro,,35,,,,,,
4,América,,34,,,,,,
5,Estudiantes,,32,,,,,,
6,Pachuca,,32,,,,,,
7,Santos,,31,,,,,,
8,Toluca,,31,,,,,,
9,Chivas,,30,,,,,,
10,Atlante,,29,,,,,,
11,Atlas,,28,,,,,,
12,Monterrey,,28,,,,,,
13,Puebla,,27,,,,,,
14,Morelia,,25,,,,,,
15,Veracruz,,25,,,,,,
16,Gallos Blancos,,24,,,,,,
17,Chiapas FC,,23,,,,,,
18,Irapuato,,23,,,,,,
19,Necaxa,,22,,,,,,
