,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Pachuca,,42,,,,,,
1,Toluca,,34,,,,,,
2,Monterrey,,28,,,,,,
3,Cruz Azul,,26,,,,,,
4,América,,25,,,,,,
5,Santos,,25,,,,,,
6,Pumas,,23,,,,,,
7,Atlas,,22,,,,,,
8,Club Querétaro,,22,,,,,,
9,Chivas,,21,,,,,,
10,Puebla,,21,,,,,,
11,Estudiantes,,21,,,,,,
12,Indios,,21,,,,,,
13,Chiapas FC,,21,,,,,,
14,Morelia,,19,,,,,,
15,Atlante,,18,,,,,,
16,Necaxa,,17,,,,,,
17,Tigres,,15,,,,,,
