,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Santos,,33,,,,,,
1,Monterrey,,32,,,,,,
2,América,,30,,,,,,
3,Cruz Azul,,29,,,,,,
4,Club Querétaro,,26,,,,,,
5,Morelia,,25,,,,,,
6,Toluca,,24,,,,,,
7,Pachuca,,24,,,,,,
8,Tigres,,22,,,,,,
9,Atlante,,20,,,,,,
10,Puebla,,19,,,,,,
11,Club Tijuana,,18,,,,,,
12,Chiapas FC,,15,,,,,,
13,Gallos Blancos,,14,,,,,,
14,Pumas,,13,,,,,,
15,Estudiantes,,12,,,,,,
16,Chivas,,12,,,,,,
17,Atlas,,7,,,,,,
