,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,Cruz Azul,,33,,,,,,
1,Monterrey,,29,,,,,,
2,Santos,,28,,,,,,
3,Pachuca,,27,,,,,,
4,Tigres,,24,,,,,,
5,Pumas,,23,,,,,,
6,América,,22,,,,,,
7,Club Querétaro,,21,,,,,,
8,Chiapas FC,,21,,,,,,
9,Puebla,,21,,,,,,
10,Estudiantes,,18,,,,,,
11,Toluca,,18,,,,,,
12,Atlas,,18,,,,,,
13,Gallos Blancos,,18,,,,,,
14,Morelia,,17,,,,,,
15,Atlante,,17,,,,,,
16,Chivas,,16,,,,,,
17,Necaxa,,14,,,,,,
