,Equipo,FDL,GF,G_C,LL,LLA,PREC,TG,TT
0,América,,31,,,,,,
1,Morelia,,31,,,,,,
2,Toluca,,28,,,,,,
3,Atlante,,28,,,,,,
4,Pumas,,27,,,,,,
5,Tigres,,26,,,,,,
6,Cruz Azul,,25,,,,,,
7,Chivas,,23,,,,,,
8,Santos,,23,,,,,,
9,Monterrey,,23,,,,,,
10,Estudiantes,,21,,,,,,
11,Chiapas FC,,20,,,,,,
12,Atlas,,19,,,,,,
13,Puebla,,16,,,,,,
14,Gallos Blancos,,16,,,,,,
15,Pachuca,,16,,,,,,
16,Club Querétaro,,15,,,,,,
17,Necaxa,,10,,,,,,
