,date,destination,note,origin,price,url
522,2017-08-02,Camboya,,CDMX,9949.0,http://www.vuelax.com/2017/08/02/cdmx-a-camboya-9949/
523,2017-08-02,"Osaka, Japón",,CDMX,12685.0,http://www.vuelax.com/2017/08/02/cdmx-a-osaka-japon-12685-opcion-con-9-noches-de-hostal-y-vuelos-por-16923/
524,2017-08-02,Kuala Lumpur,,CDMX,9821.0,http://www.vuelax.com/2017/08/02/cdmx-a-kuala-lumpur-9821/
525,2017-08-02,Cancún,,CDMX,1772.0,http://www.vuelax.com/2017/08/02/cdmx-a-cancun-1772/
526,2017-08-02,"Sao Paulo, Brasil",,CDMX,5131.0,http://www.vuelax.com/2017/08/02/cdmx-a-sao-paulo-brasil-5131/
527,2017-08-01,"Bogotá, Colombia",,CDMX,3805.0,http://www.vuelax.com/2017/08/01/cdmx-a-bogota-colombia-3805-opcion-de-hostal-desde-175-pesos-la-noche-con-desayuno-incluido/
528,2017-08-01,"Bangkok, Tailandia",,LA,6500.0,http://www.vuelax.com/2017/08/01/la-a-bangkok-tailandia-6500-opcion-con-10-noches-de-hostal-desayunos-y-vuelos-por-8719-pesos/
529,2017-08-01,NYC,,GDL,2998.0,http://www.vuelax.com/2017/08/01/gdl-a-nyc-2998/
530,2017-08-01,Brasil,,CDMX,7021.0,http://www.vuelax.com/2017/08/01/cdmx-a-brasil-6612/
531,2017-07-31,Chile,,CDMX,3893.0,http://www.vuelax.com/2017/07/31/cdmx-a-chile-3893/
532,2017-07-31,"Managua, Nicaragua",,CDMX,3694.0,http://www.vuelax.com/2017/07/31/cdmx-a-managua-nicaragua-3694-opcion-de-hostal-desde-203-pesos-la-noche-con-desayuno-incluido/
533,2017-07-31,"Anchorage, Alaska",,CDMX y GDL,9792.0,http://www.vuelax.com/2017/07/31/cdmx-y-gdl-a-anchorage-alaska-9792/
534,2017-07-31,Costa Rica,,CDMX y 22 ciudades,3591.0,http://www.vuelax.com/2017/07/31/cdmx-y-22-ciudades-a-costa-rica-3591/
535,2017-07-31,"Varadero, Cuba",,CDMX,4953.0,http://www.vuelax.com/2017/07/31/cdmx-a-varadero-cuba-4953/
536,2017-07-31,Isla de San Andrés,,CDMX,4191.0,http://www.vuelax.com/2017/07/31/cdmx-a-isla-de-san-andres-4191/
537,2017-07-30,Santa Marta,,CDMX,4764.0,http://www.vuelax.com/2017/07/30/cdmx-a-santa-marta-4764/
538,2017-07-29,Los Angeles,,CDMX y GDL,3947.0,http://www.vuelax.com/2017/07/29/cdmx-y-gdl-a-los-angeles-3709/
