,IATA,ICAO,Airport name,Location served,Time,DST
2409,FUE,GCFV,Fuerteventura Airport,"Fuerteventura, Canary Islands, Spain",UTC±00:00,Mar-Oct
2410,FUG,ZSFY,Fuyang Xiguan Airport,"Fuyang, Anhui, China",UTC+08:00,
2411,FUJ,RJFE,Fukue Airport (Gotō-Fukue Airport),"Gotō, Gotō Islands, Japan",UTC+09:00,
2412,FUK,RJFF,Fukuoka Airport (Itazuke Air Base),"Fukuoka, Kyushu, Japan",UTC+09:00,
2413,FUL,KFUL,Fullerton Municipal Airport,"Fullerton, California, United States",UTC−08:00,Mar-Nov
2414,FUM,,Fuma Airport[1],"Fuma, Papua New Guinea",UTC+10:00,
2415,FUN,NGFU,Funafuti International Airport,"Funafuti, Tuvalu",UTC+12:00,
2416,FUO,ZGFS,Foshan Shadi Airport,"Foshan, Guangdong, China",UTC+08:00,
2417,FUT,NLWF,Pointe Vele Airport,"Futuna Island, Wallis and Futuna",UTC+12:00,
2418,FVL,YFLO,Flora Valley Airport[1],"Flora Valley, Western Australia, Australia",UTC+08:00,
2419,FVM,VRMF,Fuvahmulah Airport,"Fuvahmulah, Gnaviyani Atoll, Maldives",UTC+05:00,
2420,FVR,YFRV,Forrest River Airport[1],"Forrest River Mission, Western Australia, Australia",UTC+08:00,
2421,FWA,KFWA,Fort Wayne International Airport,"Fort Wayne, Indiana, United States",UTC−05:00,Mar-Nov
2422,FWH,KNFW,NAS Fort Worth JRB / Carswell Field (FAA: NFW),"Fort Worth, Texas, United States",UTC−06:00,Mar-Nov
2423,FWL,PAFW,Farewell Airport,"Farewell, Alaska, United States",UTC−09:00,Mar-Nov
2424,FXE,KFXE,Fort Lauderdale Executive Airport,"Fort Lauderdale, Florida, United States",UTC−05:00,Mar-Nov
2425,FXO,FQCB,Cuamba Airport,"Cuamba, Mozambique",UTC+02:00,
2426,FXY,KFXY,Forest City Municipal Airport,"Forest City, Iowa, United States",UTC−06:00,Mar-Nov
2427,FYJ,ZYFY,Fuyuan Dongji Airport,"Fuyuan, Heilongjiang, China",UTC+08:00,
2428,FYM,KFYM,Fayetteville Municipal Airport,"Fayetteville, Tennessee, United States",UTC−06:00,Mar-Nov
2429,FYN,ZWFY,Fuyun Koktokay Airport[1],"Fuyun, Xinjiang, China",UTC+06:00,
