,IATA,ICAO,Airport name,Location served,Time,DST
0,AAA,NTGA,Anaa Airport,"Anaa, Tuamotus, French Polynesia",UTC−10:00,
1,AAB,YARY,Arrabury Airport,"Arrabury, Queensland, Australia",UTC+10:00,
2,AAC,HEAR,El Arish International Airport,"El Arish, Egypt",UTC+02:00,
3,AAD,,Adado Airport,"Adado (Cadaado), Galguduud, Somalia",UTC+03:00,
4,AAE,DABB,Rabah Bitat Airport (Les Salines Airport),"Annaba, Algeria",UTC+01:00,
5,AAF,KAAF,Apalachicola Regional Airport,"Apalachicola, Florida, United States",UTC−05:00,Mar-Nov
6,AAG,SSYA,Arapoti Airport,"Arapoti, Paraná, Brazil",UTC−03:00,Oct-Feb
7,AAH,EDKA,Merzbrück Airport,"Aachen, North Rhine-Westphalia, Germany",UTC+01:00,Mar-Oct
8,AAI,SWRA,Arraias Airport,"Arraias, Tocantins, Brazil",UTC−03:00,
9,AAJ,SMCA,Cayana Airstrip,"Awaradam, Suriname",UTC−03:00,
10,AAK,NGUK,Aranuka Airport,"Aranuka, Kiribati",UTC+12:00,
11,AAL,EKYT,Aalborg Airport,"Aalborg, Denmark",UTC+01:00,Mar-Oct
12,AAM,FAMD,Mala Mala Airport,"Mala Mala, South Africa",UTC+02:00,
13,AAN,OMAL,Al Ain International Airport,"Al Ain, United Arab Emirates",UTC+04:00,
14,AAO,SVAN,Anaco Airport,"Anaco, Venezuela",UTC−04:00,
15,AAQ,URKA,Anapa Airport,"Anapa, Krasnodar Krai, Russia",UTC+03:00,
16,AAR,EKAH,Aarhus Airport,"Aarhus, Denmark",UTC+01:00,Mar-Oct
17,AAS,,Apalapsili Airport,"Apalapsili, Indonesia",UTC+09:00,
18,AAT,ZWAT,Altay Airport,"Altay, Xinjiang, China",UTC+06:00,
19,AAU,NSAU,Asau Airport,"Asau, Savai'i Island, Samoa",UTC+13:00,Sep-Apr
20,AAV,RPMA,Allah Valley Airport,"Surallah, Philippines",UTC+08:00,
21,AAX,SBAX,Araxá Airport,"Araxá, Minas Gerais, Brazil",UTC−03:00,Oct-Feb
22,AAY,OYGD,Al Ghaydah Airport,"Al Ghaydah, Yemen",UTC+03:00,
23,AAZ,MGQZ,Quetzaltenango Airport,"Quetzaltenango, Guatemala",UTC−06:00,
24,ABA,UNAA,Abakan International Airport,"Abakan, Republic of Khakassia, Russia",UTC+07:00,
25,ABB,DNAS,Asaba International Airport,"Asaba, Nigeria",UTC+01:00,
26,ABC,LEAB,Albacete Airport,"Albacete, Castilla-La Mancha, Spain",UTC+01:00,Mar-Oct
27,ABD,OIAA,Abadan International Airport,"Abadan, Iran",UTC+03:30,Mar-Sep
28,ABE,KABE,Lehigh Valley International Airport,"Allentown, Pennsylvania, United States",UTC−05:00,Mar-Nov
29,ABF,NGAB,Abaiang Atoll Airport,"Abaiang, Kiribati",UTC+12:00,
30,ABG,YABI,Abingdon Airport,"Abingdon, Queensland, Australia",UTC+10:00,
31,ABH,YAPH,Alpha Airport,"Alpha, Queensland, Australia",UTC+10:00,
32,ABI,KABI,Abilene Regional Airport,"Abilene, Texas, United States",UTC−06:00,Mar-Nov
33,ABJ,DIAP,Port Bouet Airport (Felix Houphouet Boigny Int'l),"Abidjan, Côte d'Ivoire",UTC+00:00,
34,ABK,HAKD,Kabri Dar Airport,"Kebri Dahar, Ethiopia",UTC+03:00,
35,ABL,PAFM,Ambler Airport (FAA: AFM),"Ambler, Alaska, United States",UTC−09:00,Mar-Nov
36,ABM,YNPE,Northern Peninsula Airport,"Bamaga, Queensland, Australia",UTC+10:00,
37,ABN,SMBN,Albina Airstrip,"Albina, Suriname",UTC−03:00,
38,ABO,DIAO,Aboisso Airport,"Aboisso, Côte d'Ivoire",UTC+00:00,
39,ABP,,Atkamba Airport,"Atkamba, Papua New Guinea",UTC+10:00,
40,ABQ,KABQ,Albuquerque International Sunport,"Albuquerque, New Mexico, United States",UTC−07:00,Mar-Nov
41,ABR,KABR,Aberdeen Regional Airport,"Aberdeen, South Dakota, United States",UTC−06:00,Mar-Nov
42,ABS,HEBL,Abu Simbel Airport,"Abu Simbel, Egypt",UTC+02:00,
43,ABT,OEBA,Al-Baha Domestic Airport,"Al-Baha, Saudi Arabia",UTC+03:00,
44,ABU,WATA,Haliwen Airport,"Atambua, Indonesia",UTC+08:00,
45,ABV,DNAA,Nnamdi Azikiwe International Airport,"Abuja, Nigeria",UTC+01:00,
46,ABW,,Abau Airport,"Abau, Papua New Guinea",UTC+10:00,
47,ABX,YMAY,Albury Airport,"Albury, New South Wales, Australia",UTC+10:00,Oct-Apr
48,ABY,KABY,Southwest Georgia Regional Airport,"Albany, Georgia, United States",UTC−05:00,Mar-Nov
49,ABZ,EGPD,Aberdeen Airport,"Aberdeen, Scotland, United Kingdom",UTC+00:00,Mar-Oct
50,ACA,MMAA,General Juan N. Álvarez International Airport,"Acapulco, Guerrero, Mexico",UTC−06:00,Apr-Oct
51,ACB,KACB,Antrim County Airport,"Bellaire, Michigan, United States",UTC−05:00,Mar-Nov
52,ACC,DGAA,Kotoka International Airport,"Accra, Ghana",UTC+00:00,
53,ACD,SKAD,Alcides Fernández Airport,"Acandí, Colombia",UTC−05:00,
54,ACE,GCRR,Lanzarote Airport,"Lanzarote, Canary Islands, Spain",UTC+00:00,Mar-Oct
55,ACH,LSZR,St. Gallen–Altenrhein Airport,"Altenrhein, Switzerland",UTC+01:00,Mar-Oct
56,ACI,EGJA,Alderney Airport,"Alderney, Channel Islands, United Kingdom",UTC+00:00,Mar-Oct
57,ACJ,VCCA,Anuradhapura Airport,"Anuradhapura, Sri Lanka",UTC+05:30,
58,ACK,KACK,Nantucket Memorial Airport,"Nantucket, Massachusetts, United States",UTC−05:00,Mar-Nov
59,ACL,,Aguaclara Airport,"Aguaclara, Colombia",UTC−05:00,
60,ACM,,Arica Airport,"Arica, Colombia",UTC−05:00,
61,ACN,MMCC,Ciudad Acuña International Airport,"Ciudad Acuña, Coahuila, Mexico",UTC−06:00,Mar-Nov
62,ACP,OITM,Sahand Airport,"Maragheh, Iran",UTC+03:30,Mar-Sep
63,ACR,SKAC,Araracuara Airport,"Araracuara, Colombia",UTC−05:00,
64,ACS,UNKS,Achinsk Airport,"Achinsk, Krasnoyarsk Krai, Russia",UTC+07:00,
65,ACT,KACT,Waco Regional Airport,"Waco, Texas, United States",UTC−06:00,Mar-Nov
66,ACU,,Achutupo Airport,"Achutupo, Panama",UTC−05:00,
67,ACV,KACV,Arcata-Eureka Airport,"Eureka / Arcata, California, United States",UTC−08:00,Mar-Nov
68,ACX,ZUYI,Xingyi Wanfenglin Airport,"Xingyi, Guizhou, China",UTC+08:00,
69,ACY,KACY,Atlantic City International Airport,"Atlantic City, New Jersey, United States",UTC−05:00,Mar-Nov
70,ACZ,OIZB,Zabol Airport,"Zabol, Iran",UTC+03:30,Mar-Sep
71,ADA,LTAF,Adana Şakirpaşa Airport,"Adana, Turkey",UTC+03:00,
72,ADB,LTBJ,Adnan Menderes Airport,"İzmir, Turkey",UTC+03:00,
73,ADC,AYAN,Andakombe Airport,"Andakombe, Papua New Guinea",UTC+10:00,
74,ADD,HAAB,Bole International Airport,"Addis Ababa, Ethiopia",UTC+03:00,
75,ADE,OYAA,Aden International Airport,"Aden, Yemen",UTC+03:00,
76,ADF,LTCP,Adıyaman Airport,"Adıyaman, Turkey",UTC+03:00,
77,ADG,KADG,Lenawee County Airport,"Adrian, Michigan, United States",UTC−05:00,Mar-Nov
78,ADH,UEEA,Aldan Airport,"Aldan, Yakutia, Russia",UTC+09:00,
79,ADI,FYAR,Arandis Airport,"Arandis, Namibia",UTC+01:00,Sep-Apr
80,ADJ,OJAM,Amman Civil Airport (Marka International Airport),"Amman, Jordan",UTC+02:00,Mar-Oct
81,ADK,PADK,Adak Airport,"Adak Island, Alaska, United States",UTC−10:00,Mar-Nov
82,ADL,YPAD,Adelaide Airport,"Adelaide, South Australia, Australia",UTC+09:30,Oct-Apr
83,ADM,KADM,Ardmore Municipal Airport,"Ardmore, Oklahoma, United States",UTC−06:00,Mar-Nov
84,ADN,SKAN,Andes Airport,"Andes, Colombia",UTC−05:00,
85,ADO,YAMK,Andamooka Airport,"Andamooka, South Australia, Australia",UTC+09:30,Oct-Apr
86,ADP,VCCG,Ampara Airport,"Ampara, Sri Lanka",UTC+05:30,
87,ADQ,PADQ,Kodiak Airport,"Kodiak, Alaska, United States",UTC−09:00,Mar-Nov
88,ADR,KPHH,Robert F. Swinnie Airport (FAA: PHH),"Andrews, South Carolina, United States",UTC−05:00,Mar-Nov
89,ADS,KADS,Addison Airport,"Dallas, Texas, United States",UTC−06:00,Mar-Nov
90,ADT,KADH,Ada Municipal Airport (FAA: ADH),"Ada, Oklahoma, United States",UTC−06:00,Mar-Nov
91,ADU,OITL,Ardabil Airport,"Ardabil, Iran",UTC+03:30,Mar-Sep
92,ADV,,Ed Daein Airport,"Ed Daein, Sudan",UTC+03:00,
93,ADW,KADW,Andrews Field (Andrews Air Force Base),"Camp Springs, Maryland, United States",UTC−05:00,Mar-Nov
94,ADX,EGQL,RAF Leuchars,"St Andrews, Scotland, United Kingdom",UTC+00:00,Mar-Oct
95,ADY,FAAL,Alldays Airport,"Alldays, South Africa",UTC+02:00,
96,ADZ,SKSP,Gustavo Rojas Pinilla International Airport,"San Andres Island, Colombia",UTC−05:00,
97,AEA,NGTB,Abemama Atoll Airport,"Abemama Atoll, Kiribati",UTC+12:00,
98,AEB,ZGBS,Baise Bama Airport,"Baise, Guangxi, China",UTC+08:00,
99,AEE,,Adareil Airport[1],"Adareil, South Sudan",UTC+03:00,
100,AEG,WIME,Aek Godang Airport,"Padang Sidempuan, Indonesia",UTC+07:00,
101,AEH,FTTC,Abéché Airport,"Abéché, Chad",UTC+01:00,
102,AEK,AYAX,Aseki Airport,"Aseki, Papua New Guinea",UTC+10:00,
103,AEL,KAEL,Albert Lea Municipal Airport,"Albert Lea, Minnesota, United States",UTC−06:00,Mar-Nov
104,AEM,UHTG,Amgu Airport,"Amgu, Primorsky Krai, Russia",UTC+10:00,
105,AEO,GQNA,Aioun el Atrouss Airport,"Aioun el Atrouss, Mauritania",UTC+00:00,
106,AEP,SABE,Jorge Newbery Airpark,"Buenos Aires, Argentina",UTC−03:00,
107,AER,URSS,Sochi International Airport,"Sochi, Krasnodar Krai, Russia",UTC+03:00,
108,AES,ENAL,"Ålesund Airport, Vigra","Ålesund, Norway",UTC+01:00,Mar-Oct
109,AET,PFAL,Allakaket Airport (FAA: 6A8),"Allakaket, Alaska, United States",UTC−09:00,Mar-Nov
110,AEU,OIBA,Abu Musa Airport[1],"Abu Musa Island, Iran",UTC+03:30,Mar-Sep
111,AEX,KAEX,Alexandria International Airport,"Alexandria, Louisiana, United States",UTC−06:00,Mar-Nov
112,AEY,BIAR,Akureyri Airport,"Akureyri, Iceland",UTC+00:00,
113,AFA,SAMR,San Rafael Airport,"San Rafael, Mendoza, Argentina",UTC−03:00,
114,AFD,FAPA,Port Alfred Airport,"Port Alfred, South Africa",UTC+02:00,
115,AFF,KAFF,United States Air Force Academy Airfield,"Colorado Springs, Colorado, United States",UTC−07:00,Mar-Nov
116,AFI,SKAM,Amalfi Airport,"Amalfi, Colombia",UTC−05:00,
117,AFK,,Kondavattavan Tank Seaplane Base[1],"Ampara, Sri Lanka",UTC+05:30,
118,AFL,SBAT,Alta Floresta Airport,"Alta Floresta, Mato Grosso, Brazil",UTC−04:00,Oct-Feb
119,AFN,KAFN,Jaffrey Airport–Silver Ranch,"Jaffrey, New Hampshire, United States",UTC−05:00,Mar-Nov
120,AFO,KAFO,Afton Municipal Airport,"Afton, Wyoming, United States",UTC−07:00,Mar-Nov
121,AFR,AYAF,Afore Airport,"Afore, Papua New Guinea",UTC+10:00,
122,AFS,UTSN,Zarafshan Airport,"Zarafshan, Uzbekistan",UTC+05:00,
123,AFT,AGAF,Afutara Airport,"Afutara, Malaita, Solomon Islands",UTC+11:00,
124,AFW,KAFW,Fort Worth Alliance Airport,"Fort Worth, Texas, United States",UTC−06:00,Mar-Nov
125,AFY,LTAH,Afyon Airport,"Afyon, Turkey",UTC+03:00,
126,AFZ,OIMS,Sabzevar Airport[1],"Sabzevar, Iran",UTC+03:30,Mar-Sep
127,AGA,GMAD,Agadir–Al Massira Airport,"Agadir, Morocco",UTC+00:00,Mar-Oct1
128,AGB,EDMA,Augsburg Airport,"Augsburg, Bavaria, Germany",UTC+01:00,Mar-Oct
129,AGC,KAGC,Allegheny County Airport,"Pittsburgh, Pennsylvania, United States",UTC−05:00,Mar-Nov
130,AGD,WASG,Anggi Airport,"Anggi, Indonesia",UTC+09:00,
131,AGE,EDWG,Wangerooge Airport,"Wangerooge, Lower Saxony, Germany",UTC+01:00,Mar-Oct
132,AGF,LFBA,Agen La Garenne Airport,"Agen, Aquitaine, France",UTC+01:00,Mar-Oct
133,AGG,,Angoram Airport,"Angoram, Papua New Guinea",UTC+10:00,
134,AGH,ESTA,Ängelholm–Helsingborg Airport (former ICAO: ESDB),"Ängelholm, Sweden",UTC+01:00,Mar-Oct
135,AGI,SMWA,Wageningen Airstrip,"Wageningen, Suriname",UTC−03:00,
136,AGJ,RORA,Aguni Airport,"Aguni, Okinawa, Japan",UTC+09:00,
137,AGK,,Kagua Airport,"Kagua, Papua New Guinea",UTC+10:00,
138,AGL,AYWG,Wanigela Airport,"Wanigela, Papua New Guinea",UTC+10:00,
139,AGN,PAGN,Angoon Seaplane Base,"Angoon, Alaska, United States",UTC−09:00,Mar-Nov
140,AGO,KAGO,Magnolia Municipal Airport,"Magnolia, Arkansas, United States",UTC−06:00,Mar-Nov
141,AGP,LEMG,Málaga Airport,"Málaga, Andalusia, Spain",UTC+01:00,Mar-Oct
142,AGQ,LGAG,Agrinion Airport,"Agrinion, Greece",UTC+02:00,Mar-Oct
143,AGR,VIAG,Agra Airport,"Agra, Uttar Pradesh, India",UTC+05:30,
144,AGS,KAGS,Augusta Regional Airport at Bush Field,"Augusta, Georgia, United States",UTC−05:00,Mar-Nov
145,AGT,SGES,Guaraní International Airport,"Ciudad del Este, Paraguay",UTC−04:00,Oct-Mar
146,AGU,MMAS,Lic. Jesús Terán Peredo International Airport,"Aguascalientes, Aguascalientes, Mexico",UTC−06:00,Apr-Oct
147,AGV,SVAC,Oswaldo Guevara Mujica Airport,"Acarigua, Venezuela",UTC−04:00,
148,AGW,,Agnew Airport,"Agnew, Queensland, Australia",UTC+10:00,
149,AGX,VOAT,Agatti Aerodrome,"Agatti Island, Lakshadweep, India",UTC+05:30,
150,AGZ,FAAG,Aggeneys Airport,"Aggeneys, South Africa",UTC+02:00,
151,AHB,OEAB,Abha Regional Airport,"Abha, Saudi Arabia",UTC+03:00,
152,AHC,KAHC,Amedee Army Airfield,"Herlong, California, United States",UTC−08:00,Mar-Nov
153,AHD,,Ardmore Downtown Executive Airport (FAA: 1F0),"Ardmore, Oklahoma, United States",UTC−06:00,Mar-Nov
154,AHE,NTHE,Ahe Airport,"Ahe, Tuamotus, French Polynesia",UTC−10:00,
155,AHF,,Arapahoe Municipal Airport (FAA: 37V),"Arapahoe, Nebraska, United States",UTC−06:00,Mar-Nov
156,AHH,KAHH,Amery Municipal Airport,"Amery, Wisconsin, United States",UTC−06:00,Mar-Nov
157,AHI,WAPA,Amahai Airport,"Amahai, Indonesia",UTC+09:00,
158,AHJ,ZUHY,Hongyuan Airport,"Hongyuan, Sichuan, China",UTC+08:00,
159,AHL,SYAH,Aishalton Airport,"Aishalton, Guyana",UTC−04:00,
160,AHM,,Ashland Municipal Airport[1] (FAA: S03),"Ashland, Oregon, United States",UTC−08:00,Mar-Nov
161,AHN,KAHN,Athens Ben Epps Airport,"Athens, Georgia, United States",UTC−05:00,Mar-Nov
162,AHO,LIEA,Alghero-Fertilia Airport,"Alghero, Sardinia, Italy",UTC+01:00,Mar-Oct
163,AHS,MHAH,Ahuas Airport,"Ahuas, Honduras",UTC−06:00,
164,AHU,GMTA,Cherif Al Idrissi Airport,"Al Hoceima, Morocco",UTC+00:00,Mar-Oct1
165,AHW,,Saih Rawl Airport[1],"Saih Rawl, Oman",UTC+04:00,
166,AHY,,Ambatolahy Airport,"Ambatolahy, Madagascar",UTC+03:00,
167,AHZ,LFHU,Alpe d'Huez Airport,"Alpe d'Huez, Rhône-Alpes, France",UTC+01:00,Mar-Oct
168,AIA,KAIA,Alliance Municipal Airport,"Alliance, Nebraska, United States",UTC−07:00,Mar-Nov
169,AIC,,Ailinglaplap Airok Airport,"Airok, Ailinglaplap Atoll, Marshall Islands",UTC+12:00,
170,AID,KAID,Anderson Municipal Airport (Darlington Field),"Anderson, Indiana, United States",UTC−05:00,Mar-Nov
171,AIE,AYAO,Aiome Airport,"Aiome, Papua New Guinea",UTC+10:00,
172,AIF,SNAX,Assis Airport (former ICAO: SBAS),"Assis, São Paulo, Brazil",UTC−03:00,Oct-Feb
173,AIG,FEFY,Yalinga Airport,"Yalinga, Central African Republic",UTC+01:00,
174,AIH,AYAK,Aiambak Airport,"Aiambak, Papua New Guinea",UTC+10:00,
175,AII,HDAS,Ali-Sabieh Airport,"Ali Sabieh, Djibouti",UTC+03:00,
176,AIK,KAIK,Aiken Municipal Airport,"Aiken, South Carolina, United States",UTC−05:00,Mar-Nov
177,AIL,,Ailigandí Airport,"Ailigandí, Panama",UTC−05:00,
178,AIM,,Ailuk Airport,"Ailuk Atoll, Marshall Islands",UTC+12:00,
179,AIN,PAWI,Wainwright Airport (FAA: AWI),"Fort Wainwright, Alaska, United States",UTC−09:00,Mar-Nov
180,AIO,KAIO,Atlantic Municipal Airport,"Atlantic, Iowa, United States",UTC−06:00,Mar-Nov
181,AIR,SSOU,Aripuanã Airport,"Aripuanã, Mato Grosso, Brazil",UTC−04:00,Oct-Feb
182,AIS,NGTR,Arorae Island Airport,"Arorae Island, Kiribati",UTC+12:00,
183,AIT,NCAI,Aitutaki Airport,"Aitutaki, Cook Islands",UTC−10:00,
184,AIU,NCAT,Enua Airport,"Atiu Island, Cook Islands",UTC−10:00,
185,AIV,KAIV,George Downer Airport,"Aliceville, Alabama, United States",UTC−06:00,Mar-Nov
186,AIW,,Ai-Ais Airport,"Ai-Ais, Namibia",UTC+01:00,Sep-Apr
187,AIY,KAIY,Atlantic City Municipal Airport (Bader Field) (closed 2006),"Atlantic City, New Jersey, United States",,
188,AIZ,KAIZ,Lee C. Fine Memorial Airport,"Lake Ozark, Missouri, United States",UTC−06:00,Mar-Nov
189,AJA,LFKJ,Ajaccio Napoleon Bonaparte Airport,"Ajaccio, Corsica, France",UTC+01:00,Mar-Oct
190,AJF,OESK,Al-Jawf Domestic Airport,"Sakakah, Al Jawf, Saudi Arabia",UTC+03:00,
191,AJI,LTCO,Ağrı Airport,"Ağrı, Turkey",UTC+03:00,
192,AJJ,GQNJ,Akjoujt Airport,"Akjoujt, Mauritania",UTC+00:00,
193,AJK,OIHR,Arak Airport[1],"Arak, Iran",UTC+03:30,Mar-Sep
194,AJL,VELP[2],Lengpui Airport,"Aizawl, Mizoram, India",UTC+05:30,
195,AJN,FMCV,Ouani Airport,"Anjouan, Comoros",UTC+03:00,
196,AJR,ESNX,Arvidsjaur Airport,"Arvidsjaur, Sweden",UTC+01:00,Mar-Oct
197,AJS,,Punta Abreojos Airstrip,"Punta Abreojos, Baja California Sur, Mexico",UTC−07:00,Apr-Oct
198,AJU,SBAR,Santa Maria Airport,"Aracaju, Sergipe, Brazil",UTC−03:00,
199,AJY,DRZA,Mano Dayak International Airport,"Agadez, Niger",UTC+01:00,
200,AKA,ZLAK,Ankang Wulipu Airport,"Ankang, Shaanxi, China",UTC+08:00,
201,AKB,PAAK,Atka Airport (FAA: AKA),"Atka, Alaska, United States",UTC−10:00,Mar-Nov
202,AKC,KAKR,Akron Fulton International Airport (FAA: AKR),"Akron, Ohio, United States",UTC−05:00,Mar-Nov
203,AKD,VAAK,Akola Airport,"Akola, Maharashtra, India",UTC+05:30,
204,AKE,FOGA,Akieni Airport,"Akiéni, Gabon",UTC+01:00,
205,AKF,HLKF,Kufra Airport,"Kufra, Libya",UTC+02:00,
206,AKG,AYGU,Anguganak Airport,"Anguganak, Papua New Guinea",UTC+10:00,
207,AKH,OEPS,Prince Sultan Air Base,"Al-Kharj, Saudi Arabia",UTC+03:00,
208,AKI,PFAK,Akiak Airport,"Akiak, Alaska, United States",UTC−09:00,Mar-Nov
209,AKJ,RJEC,Asahikawa Airport,"Asahikawa, Hokkaido, Japan",UTC+09:00,
210,AKK,PAKH,Akhiok Airport,"Akhiok, Alaska, United States",UTC−09:00,Mar-Nov
211,AKL,NZAA,Auckland Airport,"Auckland, New Zealand",UTC+12:00,Sep-Apr
212,AKM,,Zakouma Airport,"Zakouma National Park, Chad",UTC+01:00,
213,AKN,PAKN,King Salmon Airport,"King Salmon, Alaska, United States",UTC−09:00,Mar-Nov
214,AKO,KAKO,Colorado Plains Regional Airport,"Akron, Colorado, United States",UTC−07:00,Mar-Nov
215,AKP,PAKP,Anaktuvuk Pass Airport,"Anaktuvuk Pass, Alaska, United States",UTC−09:00,Mar-Nov
216,AKQ,WIAG,Gunung Batin Airport,"Astraksetra, Indonesia",UTC+07:00,
217,AKR,DNAK,Akure Airport,"Akure, Nigeria",UTC+01:00,
218,AKS,AGGA,Auki Gwaunaru'u Airport,"Auki, Malaita, Solomon Islands",UTC+11:00,
219,AKT,LCRA,RAF Akrotiri,"Akrotiri, Cyprus",UTC+02:00,Mar-Oct
220,AKU,ZWAK,Aksu Airport,"Aksu, Xinjiang, China",UTC+06:00,
221,AKV,CYKO,Akulivik Airport,"Akulivik, Quebec, Canada",UTC−05:00,Mar-Nov
222,AKW,OIAG,Aghajari Airport[1],"Aghajari, Iran",UTC+03:30,Mar-Sep
223,AKX,UATT,Aktobe Airport,"Aktobe, Kazakhstan",UTC+05:00,
224,AKY,VYSW,Sittwe Airport,"Sittwe, Myanmar",UTC+06:30,
225,ALA,UAAA,Almaty International Airport,"Almaty, Kazakhstan",UTC+06:00,
226,ALB,KALB,Albany International Airport,"Albany, New York, United States",UTC−05:00,Mar-Nov
227,ALC,LEAL,Alicante–Elche Airport,"Alicante, Valencia, Spain",UTC+01:00,Mar-Oct
228,ALD,SPAR,Alerta Airport,"Alerta, Peru",UTC−05:00,
229,ALE,,Alpine–Casparis Municipal Airport (FAA: E38),"Alpine, Texas, United States",UTC−06:00,Mar-Nov
230,ALF,ENAT,Alta Airport,"Alta, Norway",UTC+01:00,Mar-Oct
231,ALG,DAAG,Houari Boumediene Airport,"Algiers, Algeria",UTC+01:00,
232,ALH,YABA,Albany Airport,"Albany, Western Australia, Australia",UTC+08:00,
233,ALI,KALI,Alice International Airport,"Alice, Texas, United States",UTC−06:00,Mar-Nov
234,ALJ,FAAB,Alexander Bay Airport,"Alexander Bay, South Africa",UTC+02:00,
235,ALK,,Asella Airport,"Asella, Ethiopia",UTC+03:00,
236,ALL,LIMG,Albenga Airport,"Albenga, Liguria, Italy",UTC+01:00,Mar-Oct
237,ALM,KALM,Alamogordo–White Sands Regional Airport,"Alamogordo, New Mexico, United States",UTC−07:00,Mar-Nov
238,ALN,KALN,St. Louis Regional Airport,"Alton, Illinois, United States",UTC−06:00,Mar-Nov
239,ALO,KALO,Waterloo Regional Airport,"Waterloo, Iowa, United States",UTC−06:00,Mar-Nov
240,ALP,OSAP,Aleppo International Airport,"Aleppo, Syria",UTC+02:00,Mar-Oct
241,ALQ,SSLT,Alegrete Airport,"Alegrete, Rio Grande do Sul, Brazil",UTC−03:00,Oct-Feb
242,ALR,NZLX,Alexandra Aerodrome,"Alexandra, New Zealand",UTC+12:00,Sep-Apr
243,ALS,KALS,San Luis Valley Regional Airport,"Alamosa, Colorado, United States",UTC−07:00,Mar-Nov
244,ALT,,Alenquer Airport,"Alenquer, Pará, Brazil",UTC−03:00,
245,ALU,HCMA,Alula Airport,"Alula, Somalia",UTC+03:00,
246,ALW,KALW,Walla Walla Regional Airport,"Walla Walla, Washington, United States",UTC−08:00,Mar-Nov
247,ALX,KALX,Thomas C. Russell Field,"Alexander City, Alabama, United States",UTC−06:00,Mar-Nov
248,ALY,HEAX,El Nouzha Airport,"Alexandria, Egypt",UTC+02:00,
249,ALZ,,Alitak Seaplane Base,"Lazy Bay, Alaska, United States",UTC−09:00,Mar-Nov
250,AMA,KAMA,Rick Husband Amarillo International Airport,"Amarillo, Texas, United States",UTC−06:00,Mar-Nov
251,AMB,FMNE,Ambilobe Airport,"Ambilobe, Madagascar",UTC+03:00,
252,AMC,FTTN,Am Timan Airport,"Am Timan, Chad",UTC+01:00,
253,AMD,VAAH,Sardar Vallabhbhai Patel International Airport,"Ahmedabad, Gujarat, India",UTC+05:30,
254,AME,,Alto Molocue Airport,"Alto Molocue, Mozambique",UTC+02:00,
255,AMF,AYAA,Ama Airport,"Ama, Papua New Guinea",UTC+10:00,
256,AMG,,Amboin Airport,"Amboin, Papua New Guinea",UTC+10:00,
257,AMH,HAAM,Arba Minch Airport,"Arba Minch, Ethiopia",UTC+03:00,
258,AMI,WADA,Selaparang Airport (closed 2011),"Mataram, Indonesia",,
259,AMJ,SNAR,Almenara Airport,"Almenara, Minas Gerais, Brazil",UTC−03:00,Oct-Feb
260,AMK,,Animas Air Park (FAA: 00C),"Durango, Colorado, United States",UTC−07:00,Mar-Nov
261,AML,,Puerto Armuelles Airport,"Puerto Armuelles, Panama",UTC−05:00,
262,AMM,OJAI,Queen Alia International Airport,"Amman, Jordan",UTC+02:00,Mar-Oct
263,AMN,KAMN,Gratiot Community Airport,"Alma, Michigan, United States",UTC−05:00,Mar-Nov
264,AMO,FTTU,Mao Airport,"Mao, Chad",UTC+01:00,
265,AMP,FMSY,Ampanihy Airport,"Ampanihy, Madagascar",UTC+03:00,
266,AMQ,WAPP,Pattimura Airport,"Ambon, Indonesia",UTC+09:00,
267,AMS,EHAM,Amsterdam Airport Schiphol,"Amsterdam, Netherlands",UTC+01:00,Mar-Oct
268,AMT,YAMT,Amata Airport,"Amata, South Australia, Australia",UTC+09:30,
269,AMU,AYAM,Amanab Airport,"Amanab, Papua New Guinea",UTC+10:00,
270,AMV,ULDD,Amderma Airport,"Amderma, Nenets Autonomous Okrug, Russia",UTC+03:00,
271,AMW,KAMW,Ames Municipal Airport,"Ames, Iowa, United States",UTC−06:00,Mar-Nov
272,AMX,,Ammaroo Airport,"Ammaroo, Northern Territory, Australia",UTC+09:30,
273,AMY,,Ambatomainty Airport,"Ambatomainty, Madagascar",UTC+03:00,
274,AMZ,NZAR,Ardmore Airport,"Ardmore, New Zealand",UTC+12:00,Sep-Apr
275,ANB,KANB,Anniston Regional Airport,"Anniston, Alabama, United States",UTC−06:00,Mar-Nov
276,ANC,PANC,Ted Stevens Anchorage International Airport,"Anchorage, Alaska, United States",UTC−09:00,Mar-Nov
277,AND,KAND,Anderson Regional Airport,"Anderson, South Carolina, United States",UTC−05:00,Mar-Nov
278,ANE,LFJR,Angers – Loire Airport,"Angers, Pays de la Loire, France",UTC+01:00,Mar-Oct
279,ANF,SCFA,Cerro Moreno International Airport,"Antofagasta, Chile",UTC−04:00,Aug-May
280,ANG,LFBU,Angoulême – Cognac International Airport,"Angoulême, Poitou-Charentes, France",UTC+01:00,Mar-Oct
281,ANI,PANI,Aniak Airport,"Aniak, Alaska, United States",UTC−09:00,Mar-Nov
282,ANJ,FCBZ,Zanaga Airport,"Zanaga, Republic of the Congo",UTC+01:00,
283,ANK,LTAD,Etimesgut Air Base,"Ankara, Turkey",UTC+03:00,
284,ANL,,Andulo Airport,"Andulo, Angola",UTC+01:00,
285,ANM,FMNH,Antsirabato Airport,"Antalaha, Madagascar",UTC+03:00,
286,ANN,PANT,Annette Island Airport,"Annette Island, Alaska, United States",UTC−08:00,
